,Unnamed: 0,stdWeights,<BH>,var(BH),<A>,var(A),sigma_star,balance
0,0,0.001,0.0,0.0,0.0,0.0,0.01,0.0
1,1,0.0012,0.0,0.0,0.0,0.0,0.011999999999999999,-2.1101712835646862e-150
2,2,0.0013,0.0,0.0,0.0,0.0,0.013,-7.722323846736764e-233
3,3,0.0015,0.0,0.0,0.0,0.0,0.015,-6.647997085004586e-149
4,4,0.0018,0.0,0.0,0.0,0.0,0.018,-3.4695623005800756e-49
5,5,0.0021,0.0,0.0,0.0,0.0,0.020999999999999998,-8.722256621027188e-11
6,6,0.0024,0.0,0.0,0.0,0.0,0.023999999999999997,-1.0000000000000004
7,7,0.0028,0.0,0.0,0.0,0.0,0.027999999999999997,-2.4756361644755163e-09
8,8,0.0032,0.0,0.0,0.0,0.0,0.032,-5.590098407950298e-18
9,9,0.0037,0.0,0.0,0.0,0.0,0.037,-2.2172220611456183e-09
10,10,0.0043,0.0,0.0,0.0,0.0,0.043,-1.0000000000000007
11,11,0.005,0.0,0.0,0.0,0.0,0.049999999999999996,-0.9999999999999998
12,12,0.0057,0.0,0.0,0.0,0.0,0.057,-1.0
13,13,0.0066,0.0,0.0,0.0,0.0,0.06599999999999999,-1.0000000000058367
14,14,0.0077,0.0,0.0,0.0,0.0,0.077,-1.0000000000000002
15,15,0.0089,0.0,0.0,0.0,0.0,0.089,-1.0000000000000002
16,16,0.0103,0.0,0.0,0.0,0.0,0.103,-1.0000000000000002
17,17,0.0119,0.0,0.0,0.0,0.0,0.11900000000000001,-1.0000000000000002
18,18,0.0138,0.0,0.0,0.0,0.0,0.13799999999999998,-0.999999999999572
19,19,0.0159,0.0,0.0,0.0,0.0,0.159,-0.9999999996811164
20,20,0.0184,0.0,0.0,0.0,0.0,0.184,-0.9999999451367214
21,21,0.0213,0.0,0.0,0.0,0.0,0.213,-0.9999973317888424
22,22,0.0247,0.0,0.0,0.0,0.0,0.247,-0.9999484713385274
23,23,0.0286,0.0,0.0,0.0,0.0,0.286,-0.9995286016839497
24,24,0.033,0.0,0.0,0.0,0.0,0.33,-0.9975569151728397
25,25,0.0382,0.0,0.0,0.0,0.0,0.38199999999999995,-0.991150161352996
26,26,0.0442,0.0,0.0,0.0,0.0,0.442,-0.9763299803271618
27,27,0.0512,0.0,0.0,1.0000000000000004e-06,0.0,0.512,-0.94919521470774
28,28,0.0592,0.0091879664086303,0.0083235855105335,1.4041958041958044e-05,2.8297816070043824e-06,0.592,-0.9088168199188753
29,29,0.0685,0.9424248600551508,0.0389003371535656,0.0096645734265734,0.0340893358170301,0.685,-0.855669800175008
30,30,0.0792,0.9943377389783944,2.7071090969606584e-06,0.038518922077922,0.0452147644862629,0.792,-0.793276474965162
31,31,0.0916,0.9944855382850022,2.2028283246422235e-06,0.06427196003996,0.0587848878474173,0.9159999999999999,-0.7250363588131389
32,32,0.106,0.9943331461307096,2.43954161141086e-06,0.0887334885114885,0.0746284481911694,1.0599999999999998,-0.6545217273714535
33,33,0.1226,0.994212608278004,3.929790233483414e-06,0.1124203056943056,0.0925636733057152,1.226,-0.5853057693327921
34,34,0.1419,0.994502022252868,1.7088044920104948e-06,0.1358382017982018,0.1102276501121256,1.4189999999999998,-0.5190165152248792
35,35,0.1641,0.994383495402176,2.35815190326532e-06,0.1590555324675324,0.1269873024318339,1.6409999999999998,-0.4577304049734112
36,36,0.1899,0.9944330230208231,1.945701877299861e-06,0.1822815034965035,0.1403816704554187,1.899,-0.40152370679369515
37,37,0.2197,0.9943177839079482,2.3439262359002733e-06,0.2053526623376623,0.1468373563100236,2.197,-0.35101027867643925
38,38,0.2541,0.9942866119388074,2.9997264866010885e-06,0.2282630719280719,0.1492998444133289,2.541,-0.3060836318705021
39,39,0.294,0.9944463291496604,2.210584727809648e-06,0.2508384085914086,0.1501554260784171,2.9399999999999995,-0.26624592879362985
40,40,0.3401,0.9941669436707612,3.3591590116784446e-06,0.2728551138861139,0.1482056274774177,3.401,-0.23126591258142026
41,41,0.3935,0.9941730534791268,3.8348968760985485e-06,0.294052905094905,0.146511257234274,3.935,-0.20060456836466323
42,42,0.4552,0.994150950290448,2.961930507258906e-06,0.3142861858141858,0.1411869169711408,4.552,-0.17388246528041928
43,43,0.5266,0.9936886698833832,4.981579037303943e-06,0.3333401068931069,0.1371390286596519,5.265999999999999,-0.1506105134934454
44,44,0.6093,0.9943780725160286,3.2344327844866795e-06,0.3511800609390609,0.1341153873219689,6.092999999999999,-0.1303654981460583
45,45,0.7049,0.9942770334007348,3.043426052149782e-06,0.3676998081918082,0.1303803026004962,7.0489999999999995,-0.11281264390731138
46,46,0.8154,0.9942852439510572,1.8579750199012851e-06,0.3827841618381618,0.1259618942955145,8.154,-0.09760718480385988
47,47,0.9434,0.9942987464240012,2.2747754359903286e-06,0.3965247982017982,0.1220094933937191,9.434,-0.08441731140634567
48,48,1.0914,0.994568970992383,2.3188137733723896e-06,0.4089505094905095,0.1199805036661639,10.913999999999998,-0.07300435793279436
49,49,1.2626,0.99448293031774,1.5460010068330795e-06,0.4200758241758241,0.117350835787589,12.626,-0.06312776572035583
50,50,1.4607,0.993966235696455,3.5971481656760347e-06,0.4299395114885114,0.1148752721045188,14.607000000000001,-0.054580799775005406
51,51,1.6898,0.9942205415093888,2.8203001091214364e-06,0.4388074265734266,0.1133631491345816,16.898,-0.047190146320306214
52,52,1.955,0.9941397372578714,3.5281175836573044e-06,0.4466046103896104,0.1108511910287514,19.55,-0.040794719415776226
53,53,2.2617,0.9943280242131828,2.428042040650024e-06,0.453455979020979,0.1097529672265796,22.616999999999997,-0.03526659900353357
54,54,2.6165,0.9943095143456314,2.648178644659221e-06,0.4594700559440559,0.1068081294230245,26.164999999999996,-0.030486923733238525
55,55,3.027,0.9944639954976312,1.8088628419989396e-06,0.4647589270729271,0.1061048821268641,30.27,-0.026354127925180937
56,56,3.5019,0.9942197188844244,2.1607796948231766e-06,0.4693450089910089,0.1054467109174541,35.019,-0.0227812369315899
57,57,4.0513,0.9944864699011432,2.176561517534537e-06,0.4733578931068931,0.1039039766467299,40.513,-0.01969253194674514
58,58,4.6869,0.9942283139525032,2.7943847580334043e-06,0.4769043406593406,0.1030799176208406,46.86899999999999,-0.017022424809970182
59,59,5.4222,0.9940794635633472,3.412964024194585e-06,0.479971037962038,0.1025156538346768,54.222,-0.014714310279008713
60,60,6.2729,0.9940607250186578,2.893696887917391e-06,0.4826285034965035,0.1013077842836484,62.729,-0.012719009821928362
