,Unnamed: 0,stdWeights,<BH>,var(BH),<A>,var(A),sigma_star,balance
0,0,0.001,0.0,0.0,0.944322,0.0,0.01,0.0
1,1,0.0012,0.0,0.0,0.944322,0.0,0.011999999999999999,2.1101712835646862e-150
2,2,0.0013,0.0,0.0,0.944322,0.0,0.013,7.722323846736764e-233
3,3,0.0015,0.0,0.0,0.944322,0.0,0.015,6.647997085004586e-149
4,4,0.0018,0.0,0.0,0.944322,0.0,0.018,3.4695623005800756e-49
5,5,0.0021,0.0,0.0,0.944322,0.0,0.020999999999999998,8.722256621027188e-11
6,6,0.0024,0.0,0.0,0.944322,0.0,0.023999999999999997,1.0000000000000004
7,7,0.0028,0.0,0.0,0.944322,0.0,0.027999999999999997,2.4756361644755163e-09
8,8,0.0032,0.0,0.0,0.944322,0.0,0.032,5.590098407950298e-18
9,9,0.0037,0.0,0.0,0.944322,0.0,0.037,2.2172220611456183e-09
10,10,0.0043,0.0,0.0,0.944322,0.0,0.043,1.0000000000000007
11,11,0.005,0.0,0.0,0.944322,0.0,0.049999999999999996,0.9999999999999998
12,12,0.0057,0.0,0.0,0.944322,0.0,0.057,1.0
13,13,0.0066,0.0,0.0,0.944322,0.0,0.06599999999999999,1.0000000000058367
14,14,0.0077,0.0,0.0,0.944322,0.0,0.077,1.0000000000000002
15,15,0.0089,0.0,0.0,0.944322,0.0,0.089,1.0000000000000002
16,16,0.0103,0.0,0.0,0.944322,0.0,0.103,1.0000000000000002
17,17,0.0119,0.0,0.0,0.944322,0.0,0.11900000000000001,1.0000000000000002
18,18,0.0138,0.0,0.0,0.944322,0.0,0.13799999999999998,0.999999999999572
19,19,0.0159,0.0,0.0,0.944322,0.0,0.159,0.9999999996811164
20,20,0.0184,0.0,0.0,0.944322,0.0,0.184,0.9999999451367214
21,21,0.0213,0.0,0.0,0.944321,0.0,0.213,0.9999973317888424
22,22,0.0247,0.0,0.0,0.944316,0.0,0.247,0.9999484713385274
23,23,0.0286,0.0,0.0,0.944269,0.0,0.286,0.9995286016839497
24,24,0.033,0.0,0.0,0.944047,0.0,0.33,0.9975569151728397
25,25,0.0382,0.0,0.0,0.943322,0.0,0.38199999999999995,0.991150161352996
26,26,0.0442,0.0,0.0,0.941484,0.0,0.442,0.9763299803271618
27,27,0.0512,0.0,0.0,0.937844,0.0,0.512,0.94919521470774
28,28,0.0592,0.0,0.0,0.93132,0.0,0.592,0.9088168199188753
29,29,0.0685,0.0,0.0,0.920084,0.0,0.685,0.855669800175008
30,30,0.0792,0.0,0.0,0.903194,0.0,0.792,0.793276474965162
31,31,0.0916,0.0,0.0,0.879864,0.0,0.9159999999999999,0.7250363588131389
32,32,0.106,0.0,0.0,0.8483839999999999,0.0,1.0599999999999998,0.6545217273714535
33,33,0.1226,0.0175930211742572,0.0151901116931789,0.809913831168831,4.572727971329915e-06,1.226,0.5853057693327921
34,34,0.1419,0.0091847341367374,0.0083238032222643,0.7659175014985015,4.664081173573048e-06,1.4189999999999998,0.5190165152248792
35,35,0.1641,0.0461126685540164,0.0403780747971029,0.7195214645354646,1.7430615338707655e-05,1.6409999999999998,0.4577304049734112
36,36,0.1899,0.081295716789979,0.0668123009950363,0.6715422847152847,4.328195480843025e-05,1.899,0.40152370679369515
37,37,0.2197,0.1092194301995875,0.087455359999386,0.6269662827172827,3.732300267165241e-05,2.197,0.35101027867643925
38,38,0.2541,0.1267126127515156,0.0986595303151859,0.5851425804195804,0.0001285474246033,2.541,0.3060836318705021
39,39,0.294,0.2572435047386185,0.170114376404305,0.5458886423576425,0.0002627117118645,2.9399999999999995,0.26624592879362985
40,40,0.3401,0.3170453276331806,0.1956098218515412,0.5116935074925076,0.0007019776227768,3.401,0.23126591258142026
41,41,0.3935,0.323832908329253,0.1952849757866308,0.4818401738261738,0.0010981930936196,3.935,0.20060456836466323
42,42,0.4552,0.3984010951539462,0.2117037605034104,0.4559043636363636,0.0012994046592767,4.552,0.17388246528041928
43,43,0.5266,0.4222418060829656,0.2180894166122055,0.4334385224775224,0.0015177970600827,5.265999999999999,0.1506105134934454
44,44,0.6093,0.4540625286613023,0.2237427674761157,0.4140773976023976,0.0030944580274869,6.092999999999999,0.1303654981460583
45,45,0.7049,0.4863101555765317,0.2193743472023087,0.397420991008991,0.0033874552879687,7.0489999999999995,0.11281264390731138
46,46,0.8154,0.6592978103629406,0.1874611814903111,0.3824137482517482,0.004147541321815,8.154,0.09760718480385988
47,47,0.9434,0.6559515265659921,0.1941658145854484,0.3705355374625375,0.0070998063714507,9.434,0.08441731140634567
48,48,1.0914,0.7647495956979844,0.1481064576490677,0.3588624195804196,0.0076441989578852,10.913999999999998,0.07300435793279436
49,49,1.2626,0.6353579216173537,0.2085434321778277,0.3499642117882118,0.0068169079891137,12.626,0.06312776572035583
50,50,1.4607,0.8122724440148269,0.1264917946888891,0.3413243606393606,0.0100917643854646,14.607000000000001,0.054580799775005406
51,51,1.6898,0.8101898547093264,0.1261386944914756,0.3345546913086913,0.0114880859140859,16.898,0.047190146320306214
52,52,1.955,0.7548141231107232,0.1617665795557585,0.3284788671328671,0.0125319599960479,19.55,0.040794719415776226
53,53,2.2617,0.8773245053545683,0.0865981119308306,0.3239451478521479,0.0120488476678167,22.616999999999997,0.03526659900353357
54,54,2.6165,0.8684880842794473,0.0934701697458952,0.3194073376623376,0.0146495104994905,26.164999999999996,0.030486923733238525
55,55,3.027,0.8371524496547855,0.1072660752409104,0.3161226803196802,0.014724495031442,30.27,0.026354127925180937
56,56,3.5019,0.8597046173847411,0.0950801634728108,0.3127928241758242,0.0163473743519218,35.019,0.0227812369315899
57,57,4.0513,0.8526122676961966,0.1024499176917154,0.3092881798201798,0.0195012162862112,40.513,0.01969253194674514
58,58,4.6869,0.7203784782755487,0.1825080165164851,0.3070237442557442,0.0171297497886728,46.86899999999999,0.017022424809970182
59,59,5.4222,0.7967934886012279,0.1396133938369918,0.3042616303696303,0.0180216855072999,54.222,0.014714310279008713
60,60,6.2729,0.856383733878151,0.1018465194397175,0.3023709910089909,0.0186095210962863,62.729,0.012719009821928362
61,61,7.257,0.8658112425464712,0.0946173696301176,0.3007133706293706,0.0205671097354194,72.57,0.010994340784836798
62,62,8.3956,0.8675030547247252,0.0941262380040138,0.2997061148851149,0.0213331914119846,83.95599999999999,0.009503379091015396
63,63,9.7127,0.8736627805700152,0.0856116736884398,0.2986567752247752,0.0219539636567228,97.127,0.008214713360919279
64,64,11.2365,0.8627413797396218,0.0935588177666131,0.2977084805194805,0.0264145143028799,112.365,0.007100734468416803
65,65,12.9994,0.8514717012059475,0.1086931302965922,0.297151057942058,0.0238554031203561,129.994,0.006137796294154341
66,66,15.0389,0.8812241666569246,0.0868368843230882,0.2960045434565435,0.024014613268849,150.38899999999998,0.005305432452649694
67,67,17.3983,0.7949377042070341,0.1387475219986112,0.2956338811188811,0.0246539848143863,173.98299999999998,0.004585966259250784
68,68,20.1279,0.8007207192455413,0.1337860381467972,0.2950514845154845,0.0243018780360498,201.279,0.003964056252327319
69,69,23.2857,0.888133571135597,0.0787104744645153,0.2946683686313686,0.0236671500487524,232.85699999999997,0.003426489683809819
70,70,26.9389,0.8786381100359952,0.0866795640388582,0.2942442067932068,0.0247244179876067,269.389,0.002961823713549805
71,71,31.1653,0.8050810474310197,0.1338634864390111,0.2940378351648351,0.023459535984495,311.65299999999996,0.0025601652853343704
72,72,36.0547,0.8674761037154,0.0941977805912302,0.2938724025974026,0.0226988984042929,360.54699999999997,0.0022129806594674006
