,stdWeights,<BH>,var(BH),<A>,var(A),sigma_star,balance
0,0.001,0.0,0.0,0.0,0.0,0.01,0.0
1,0.0012,0.0,0.0,0.0,0.0,0.0119999999999999,-2.1101712835646865e-150
2,0.0013,0.0,0.0,0.0,0.0,0.013,-7.722323846736764e-233
3,0.0015,0.0,0.0,0.0,0.0,0.015,-6.647997085004586e-149
4,0.0018,0.0,0.0,0.0,0.0,0.018,-3.469562300580076e-49
5,0.0021,0.0,0.0,0.0,0.0,0.0209999999999999,-8.722256621027188e-11
6,0.0024,0.0,0.0,0.0,0.0,0.0239999999999999,-1.0000000000000004
7,0.0028,0.0,0.0,0.0,0.0,0.0279999999999999,-2.4756361644755163e-09
8,0.0032,0.0,0.0,0.0,0.0,0.032,-5.5900984079502985e-18
9,0.0037,0.0,0.0,0.0,0.0,0.037,-2.2172220611456183e-09
10,0.0043,0.0,0.0,0.0,0.0,0.043,-1.0000000000000009
11,0.005,0.0,0.0,0.0,0.0,0.0499999999999999,-0.9999999999999998
12,0.0057,0.0,0.0,0.0,0.0,0.057,-1.0
13,0.0066,0.0,0.0,0.0,0.0,0.0659999999999999,-1.0000000000058369
14,0.0077,0.0,0.0,0.0,0.0,0.077,-1.0000000000000002
15,0.0089,0.0,0.0,0.0,0.0,0.089,-1.0000000000000002
16,0.0103,0.0,0.0,0.0,0.0,0.103,-1.0000000000000002
17,0.0119,0.0,0.0,0.0,0.0,0.119,-1.0000000000000002
18,0.0138,0.0,0.0,0.0,0.0,0.1379999999999999,-0.999999999999572
19,0.0159,0.0,0.0,0.0,0.0,0.159,-0.9999999996811164
20,0.0184,0.0,0.0,0.0,0.0,0.184,-0.9999999451367214
21,0.0213,0.0,0.0,0.0,0.0,0.213,-0.9999973317888424
22,0.0247,0.0,0.0,0.0,0.0,0.247,-0.9999484713385274
23,0.0286,0.0,0.0,0.0,0.0,0.286,-0.9995286016839496
24,0.033,0.0,0.0,0.0,0.0,0.33,-0.9975569151728396
25,0.0382,0.0,0.0,0.0,0.0,0.3819999999999999,-0.991150161352996
26,0.0442,0.0,0.0,0.0,0.0,0.442,-0.9763299803271618
27,0.0512,0.0,0.0,0.0,0.0,0.512,-0.94919521470774
28,0.0592,0.0,0.0,0.0,0.0,0.592,-0.9088168199188752
29,0.0685,0.0,0.0,5.000000000000001e-06,0.0,0.685,-0.855669800175008
30,0.0792,0.008875401556816239,0.007798502526678876,8.1998001998002e-06,1.5988007996000009e-07,0.792,-0.793276474965162
31,0.0916,0.027231707626179196,0.023975712260106884,2.273526473526473e-05,2.028185600613172e-06,0.916,-0.7250363588131389
32,0.106,0.1005260921893697,0.0817929603986702,0.0001192627372627,1.9080881156805223e-05,1.0599999999999998,-0.6545217273714535
33,0.1226,0.1991200515134765,0.14077722438243961,0.0004570639360639,0.0001058713075136,1.226,-0.5853057693327921
34,0.1419,0.5220387230467474,0.2149575519367058,0.0036521878121878,0.0018586237618525,1.4189999999999998,-0.5190165152248792
35,0.1641,0.9156389027331021,0.05468629808808054,0.031917927072927,0.0608011613920545,1.6409999999999998,-0.4577304049734112
36,0.1899,0.9825319254454036,0.009754551846660351,0.0752943866133866,0.0927391093342222,1.899,-0.4015237067936951
37,0.2197,0.993339524758506,3.4327461239241056e-06,0.1120196593406593,0.1018241877822477,2.197,-0.3510102786764392
38,0.2541,0.9937093845704673,3.0053727248098188e-06,0.1454214015984015,0.1021163273709307,2.541,-0.3060836318705021
39,0.294,0.9936441243856663,3.490256946417037e-06,0.1756733806193806,0.1030184597240921,2.9399999999999995,-0.2662459287936298
40,0.3401,0.9939907325066302,2.9745269546463685e-06,0.2031317102897102,0.0974983280256207,3.401,-0.2312659125814202
41,0.3935,0.9940245829750499,3.0309652494700587e-06,0.2271564505494505,0.0941039840958242,3.935,-0.2006045683646632
42,0.4552,0.9940317396959215,3.104176190121198e-06,0.2487575664335664,0.0907978867106919,4.552,-0.1738824652804192
43,0.5266,0.9940490260667966,2.7192971189954758e-06,0.2677360159840159,0.0863536507548395,5.265999999999999,-0.1506105134934454
44,0.6093,0.9943635786502294,2.070894617187653e-06,0.2847531658341658,0.0803274512759967,6.092999999999999,-0.1303654981460583
45,0.7049,0.9941710965579895,3.0316877751572626e-06,0.2998499100899101,0.0761278456189165,7.049,-0.1128126439073113
46,0.8154,0.9943354741709429,3.1148026167558215e-06,0.31265198001998,0.070451808816558,8.154,-0.0976071848038598
