,stdWeights,<BH>,var(BH),<A>,var(A),sigma_star,balance
0,0.001,0.0,0.0,0.9809999999999998,0.0,0.01,0.0
1,0.0012,0.0,0.0,0.9809999999999998,0.0,0.0119999999999999,2.1101712835646865e-150
2,0.0013,0.0,0.0,0.9809999999999998,0.0,0.013,7.722323846736764e-233
3,0.0015,0.0,0.0,0.9809999999999998,0.0,0.015,6.647997085004586e-149
4,0.0018,0.0,0.0,0.9809999999999998,0.0,0.018,3.469562300580076e-49
5,0.0021,0.0,0.0,0.9809999999999998,0.0,0.0209999999999999,8.722256621027188e-11
6,0.0024,0.0,0.0,0.9809999999999998,0.0,0.0239999999999999,1.0000000000000004
7,0.0028,0.0,0.0,0.9809999999999998,0.0,0.0279999999999999,2.4756361644755163e-09
8,0.0032,0.0,0.0,0.9809999999999998,0.0,0.032,5.5900984079502985e-18
9,0.0037,0.0,0.0,0.9809999999999998,0.0,0.037,2.2172220611456183e-09
10,0.0043,0.0,0.0,0.9809999999999998,0.0,0.043,1.0000000000000009
11,0.005,0.0,0.0,0.9809999999999998,0.0,0.0499999999999999,0.9999999999999998
12,0.0057,0.0,0.0,0.9809999999999998,0.0,0.057,1.0
13,0.0066,0.0,0.0,0.9809999999999998,0.0,0.0659999999999999,1.0000000000058369
14,0.0077,0.0,0.0,0.9809999999999998,0.0,0.077,1.0000000000000002
15,0.0089,0.0,0.0,0.9809999999999998,0.0,0.089,1.0000000000000002
16,0.0103,0.0,0.0,0.9809999999999998,0.0,0.103,1.0000000000000002
17,0.0119,0.0,0.0,0.9809999999999998,0.0,0.119,1.0000000000000002
18,0.0138,0.0,0.0,0.9809999999999998,0.0,0.1379999999999999,0.999999999999572
19,0.0159,0.0,0.0,0.9809999999999998,0.0,0.159,0.9999999996811164
20,0.0184,0.0,0.0,0.9809999999999998,0.0,0.184,0.9999999451367214
21,0.0213,0.0,0.0,0.9809999999999998,0.0,0.213,0.9999973317888424
22,0.0247,0.0,0.0,0.9809959999999998,0.0,0.247,0.9999484713385274
23,0.0286,0.0,0.0,0.9809709999999998,0.0,0.286,0.9995286016839496
24,0.033,0.0,0.0,0.9808930000000002,0.0,0.33,0.9975569151728396
25,0.0382,0.0,0.0,0.980602,0.0,0.3819999999999999,0.991150161352996
26,0.0442,0.0,0.0,0.9798870000000002,0.0,0.442,0.9763299803271618
27,0.0512,0.0,0.0,0.978255,0.0,0.512,0.94919521470774
28,0.0592,0.0,0.0,0.975099,0.0,0.592,0.9088168199188752
29,0.0685,2.3420927741220475e-06,2.6878452956714067e-10,0.969345,4.999995009985021e-07,0.685,0.855669800175008
30,0.0792,2.3420927741220475e-06,2.687845295671406e-10,0.9599950000000004,4.999995009985021e-07,0.792,0.793276474965162
