,stdWeights,<A>,var(A),<BH>,var(BH),sigma_star,balance
0,0.001,0.0,0.0,0.0,0.0,0.01,-1.0
1,0.0012,0.0,0.0,0.0,0.0,0.0119999999999999,-1.0
2,0.0013,0.0,0.0,0.0,0.0,0.013,-1.0
3,0.0015,0.0,0.0,0.0,0.0,0.015,-1.0
4,0.0018,0.0,0.0,0.0,0.0,0.018,-1.0
5,0.0021,0.0,0.0,0.0,0.0,0.0209999999999999,-1.0
6,0.0024,0.0,0.0,0.0,0.0,0.0239999999999999,-1.0
7,0.0028,0.0,0.0,0.0,0.0,0.0279999999999999,-1.0
8,0.0032,0.0,0.0,0.0,0.0,0.032,-1.0
9,0.0037,0.0,0.0,0.0,0.0,0.037,-1.0
10,0.0043,0.0,0.0,0.0,0.0,0.043,-1.0
11,0.005,0.0,0.0,0.0,0.0,0.0499999999999999,-1.0
12,0.0057,0.0,0.0,0.0,0.0,0.057,-1.0
13,0.0066,0.0,0.0,0.0,0.0,0.0659999999999999,-1.0
14,0.0077,0.0,0.0,0.0,0.0,0.077,-1.0
15,0.0089,0.0,0.0,0.0,0.0,0.089,-1.0
16,0.0103,0.0,0.0,0.0,0.0,0.103,-1.0
17,0.0119,0.0,0.0,0.0,0.0,0.119,-1.0
18,0.0138,0.0,0.0,0.0,0.0,0.1379999999999999,-0.999999999999572
19,0.0159,0.0,0.0,0.0,0.0,0.159,-0.999999999681116
20,0.0184,0.0,0.0,0.0,0.0,0.184,-0.9999999451367212
21,0.0213,0.0,0.0,0.0,0.0,0.213,-0.999997331788812
22,0.0247,0.0,0.0,0.0,0.0,0.247,-0.9999484713385688
23,0.0286,0.0,0.0,0.0,0.0,0.286,-0.9995286016839464
24,0.033,0.0,0.0,0.0,0.0,0.33,-0.9975569151728396
25,0.0382,0.0,0.0,0.0,0.0,0.3819999999999999,-0.991150161352996
26,0.0442,0.0,0.0,0.0,0.0,0.442,-0.976329980327162
27,0.0512,2.666333666333667e-05,2.223331114440005e-06,0.009182607275730462,0.0083477073616495,0.512,-0.9491952147077408
28,0.0592,0.0002950149850149,4.54384776063098e-05,0.03584108527159915,0.030847654648727598,0.592,-0.9088168199188752
29,0.0685,0.0051861238761238,0.004950933402262,0.2996051530571769,0.19133333263436192,0.685,-0.855669800175008
30,0.0792,0.0385238261738261,0.0459219556267907,0.9944038166434632,2.4379278275880944e-06,0.792,-0.7932764749651616
31,0.0916,0.0647263236763236,0.0593381369679271,0.9942130080563006,2.035314699936036e-06,0.916,-0.7250363588131385
32,0.106,0.0891206793206793,0.0748544925005064,0.9943426054458158,2.6707485569665472e-06,1.0599999999999998,-0.654521727371446
33,0.1226,0.1127645554445554,0.0935122348181289,0.9938963579950146,4.179457585710369e-06,1.226,-0.5853057693327919
34,0.1419,0.136208021978022,0.1104841864628877,0.9945026777770765,1.9113980964264352e-06,1.4189999999999998,-0.519016515224879
35,0.1641,0.1593660839160839,0.1273300162973889,0.9941565971085867,2.4358714929994813e-06,1.6409999999999998,-0.457730404973411
36,0.1899,0.182465884115884,0.1379767681070178,0.9940714371199499,3.5361980003689346e-06,1.899,-0.4015237067936949
37,0.2197,0.2055783916083916,0.148185527659154,0.9942553758320776,2.822012038409591e-06,2.197,-0.3510102786764392
38,0.2541,0.2285202197802197,0.1497246785781651,0.994167888356295,3.5404894247783627e-06,2.541,-0.3060836318705021
39,0.294,0.2510875524475525,0.1505863262012712,0.9944253608865522,2.1376557029909764e-06,2.9399999999999995,-0.2662459287936297
40,0.3401,0.2730698601398602,0.1488983772870486,0.9941607871466389,2.7817957684831867e-06,3.401,-0.2312659125814202
41,0.3935,0.2943685814185814,0.1450586417578425,0.994253889944058,3.357274180222281e-06,3.935,-0.2006045683646631
42,0.4552,0.3145457942057941,0.1412019642894568,0.9943822669586057,2.338452220279736e-06,4.552,-0.1738824652804191
43,0.5266,0.3335603796203796,0.1377428307356978,0.9944439653427887,2.3322530378296488e-06,5.265999999999999,-0.1506105134934452
44,0.6093,0.3515328671328671,0.1325380914989106,0.9944332456976963,2.174980888228343e-06,6.092999999999999,-0.130365498146058
45,0.7049,0.3680327772227771,0.1296995467469593,0.9939944493276694,2.7544465502482572e-06,7.049,-0.1128126439073111
46,0.8154,0.383064965034965,0.1264933911642802,0.9941950049463799,3.1236118425242617e-06,8.154,-0.0976071848038596
47,0.9434,0.3967083116883118,0.1223930902264568,0.9940368789212987,3.779810919548443e-06,9.434,-0.0844173114063452
48,1.0914,0.4091183916083917,0.1209290257993754,0.9945652681699602,2.2533396047972013e-06,10.913999999999998,-0.0730043579327941
49,1.2626,0.4203357042957044,0.1159818402776045,0.9943341594613665,2.724721446388143e-06,12.626,-0.0631277657203553
50,1.4607,0.4303293106893106,0.1136629770030169,0.9946361780337787,2.094184645266548e-06,14.607,-0.0545807997750049
51,1.6898,0.4391518881118881,0.1128822969238553,0.9946741458131791,1.6862162917830294e-06,16.898,-0.0471901463203058
52,1.955,0.4469086313686314,0.1105424582210996,0.9943014834666282,3.270286307676873e-06,19.55,-0.0407947194157756
53,2.2617,0.453917992007992,0.1087264048239472,0.9942225047581479,2.3687071518984136e-06,22.617,-0.0352665990035331
54,2.6165,0.4598800000000001,0.1074427350870907,0.9942987360296379,3.114947100640852e-06,26.165,-0.030486923733238
55,3.027,0.4651692207792207,0.1065785016182618,0.9944841705488071,2.066043291272991e-06,30.27,-0.0263541279251804
56,3.5019,0.4697993106893108,0.1051675384755105,0.9941077356259956,2.491662195732468e-06,35.019,-0.0227812369315893
57,4.0513,0.4739081918081917,0.1052381066485961,0.9943011857574359,3.1619046185018532e-06,40.513,-0.0196925319467447
58,4.6869,0.477592937062937,0.1029233839287585,0.9943551193402055,2.092432633673549e-06,46.86899999999999,-0.0170224248099696
59,5.4222,0.4806560739260739,0.1021667444044467,0.9943881272258724,3.17634777820576e-06,54.222,-0.0147143102790082
60,6.2729,0.4833713386613387,0.1022549065519894,0.9943722593527474,2.6883992690809304e-06,62.729,-0.0127190098219283
61,7.257,0.4856564535464534,0.1013632120127624,0.9945515531938335,1.5839737683980292e-06,72.57,-0.0109943407848368
62,8.3956,0.4876988311688312,0.1006814273239248,0.9943562717145292,2.7382288955653557e-06,83.95599999999999,-0.0095033790910153
63,9.7127,0.4894607792207792,0.0994952365915802,0.99439417459574,2.2825456468581045e-06,97.127,-0.0082147133609192
64,11.2365,0.490975964035964,0.0998151237573615,0.9944408091547744,3.0569625057172793e-06,112.365,-0.0071007344684167
65,12.9994,0.4923474225774225,0.0995372819588004,0.9944397278637948,1.957225329854124e-06,129.994,-0.0061377962941543
66,15.0389,0.4935245154845155,0.0983781614988408,0.9945538541251642,2.173766883944869e-06,150.38899999999998,-0.0053054324526497
67,17.3983,0.4945097002997003,0.0992076812498191,0.9941724141071293,4.439614892693518e-06,173.98299999999998,-0.0045859662592508
68,20.1279,0.4953041958041958,0.0995557236769224,0.9944244189328291,2.244694117231713e-06,201.279,-0.0039640562523272
69,23.2857,0.4960540759240759,0.0986860589360689,0.9939351940307084,3.4121867837261276e-06,232.857,-0.0034264896838097
70,26.9389,0.4967702197802197,0.0990251140867124,0.9942617243900717,2.2684141397807076e-06,269.389,-0.0029618237135498
71,31.1653,0.4972873426573427,0.0984425366042549,0.9943988715329567,1.5822124951495866e-06,311.653,-0.0025601652853341
72,36.0547,0.4977920379620378,0.0976261931874319,0.99422300296594,3.7591387636356337e-06,360.547,-0.0022129806594674
73,41.7112,0.4981005994005994,0.0982717474134257,0.9942458196275267,3.55880506033026e-06,417.112,-0.0019128766289846
74,48.2552,0.4985140459540458,0.0978242350057534,0.9943273124327865,2.194144866105259e-06,482.552,-0.0016534673770256
75,55.8259,0.4987845854145855,0.0974350481087344,0.9942814568307871,2.784575939030507e-06,558.2589999999999,-0.0014292364907834
76,64.5842,0.4990871128871128,0.0971132449768014,0.9942498459745235,2.799508625065951e-06,645.8419999999999,-0.0012354170865162
77,74.7167,0.4993772827172826,0.097233626273826,0.9941302002188092,2.5369039829566298e-06,747.167,-0.0010678795002944
78,86.4388,0.499562947052947,0.0977975010603781,0.9946966338201463,2.2622480676275977e-06,864.3879999999999,-0.0009230627713744
79,100.0,0.4997590409590409,0.0970609205978836,0.9944960328152807,1.932366085101737e-06,1000.0,-0.0007978844278221
