,stdWeights,<A>,<var(A)>,var(<A>),sigma_star,balance,<BH>,var(BH)
0,0.001,0.9779999999999996,0.0,4.930380657631324e-32,0.01,1.0,0.0,0.0
1,0.0012,0.9779999999999996,0.0,4.930380657631324e-32,0.0119999999999999,1.0,0.0,0.0
2,0.0013,0.9779999999999996,0.0,4.930380657631324e-32,0.013,1.0,0.0,0.0
3,0.0015,0.9779999999999996,0.0,4.930380657631324e-32,0.015,1.0,0.0,0.0
4,0.0018,0.9779999999999996,0.0,4.930380657631324e-32,0.018,1.0,0.0,0.0
5,0.0021,0.9779999999999996,0.0,4.930380657631324e-32,0.0209999999999999,1.0,0.0,0.0
6,0.0024,0.9779999999999996,0.0,4.930380657631324e-32,0.0239999999999999,1.0,0.0,0.0
7,0.0028,0.9779999999999996,0.0,4.930380657631324e-32,0.0279999999999999,1.0,0.0,0.0
8,0.0032,0.9779999999999996,0.0,4.930380657631324e-32,0.032,1.0,0.0,0.0
9,0.0037,0.9779999999999996,0.0,4.930380657631324e-32,0.037,1.0,0.0,0.0
10,0.0043,0.9779999999999996,0.0,4.930380657631324e-32,0.043,1.0,0.0,0.0
11,0.005,0.9779999999999996,0.0,4.930380657631324e-32,0.0499999999999999,1.0,0.0,0.0
12,0.0057,0.9779999999999996,0.0,4.930380657631324e-32,0.057,1.0,0.0,0.0
13,0.0066,0.9779999999999996,0.0,4.930380657631324e-32,0.0659999999999999,1.0,0.0,0.0
14,0.0077,0.9779999999999996,0.0,4.930380657631324e-32,0.077,1.0,0.0,0.0
15,0.0089,0.9779999999999996,0.0,4.930380657631324e-32,0.089,1.0,0.0,0.0
16,0.0103,0.9779999999999996,0.0,4.930380657631324e-32,0.103,1.0,0.0,0.0
17,0.0119,0.9779999999999996,0.0,4.930380657631324e-32,0.119,1.0,0.0,0.0
18,0.0138,0.9779999999999996,0.0,4.930380657631324e-32,0.1379999999999999,0.999999999999572,0.0,0.0
19,0.0159,0.9779999999999996,0.0,4.930380657631324e-32,0.159,0.999999999681116,0.0,0.0
20,0.0184,0.9779999999999996,0.0,4.930380657631324e-32,0.184,0.9999999451367212,0.0,0.0
21,0.0213,0.9779999999999996,0.0,4.930380657631324e-32,0.213,0.999997331788812,0.0,0.0
22,0.0247,0.9779899999999998,0.0,9.899999999993418e-09,0.247,0.9999484713385688,0.0,0.0
23,0.0286,0.9779699999999996,0.0,2.9099999999980663e-08,0.286,0.9995286016839464,0.0,0.0
24,0.033,0.9779099999999996,0.0,1.0189999999996624e-07,0.33,0.9975569151728396,0.0,0.0
25,0.0382,0.9776799999999998,0.0,3.175999999999382e-07,0.3819999999999999,0.991150161352996,0.0,0.0
26,0.0442,0.9770599999999996,0.0,1.1564000000000515e-06,0.442,0.976329980327162,0.0,0.0
27,0.0512,0.9756950049950048,2.4999975049925096e-06,2.849493034438076e-06,0.512,0.9491952147077408,1.1710463870610238e-06,1.3576361442421902e-10
28,0.0592,0.972985004995005,2.4999975049925096e-06,5.622300127345017e-06,0.592,0.9088168199188752,1.1710463870610238e-06,1.3576361442421902e-10
29,0.0685,0.9678050049950048,2.4999975049925096e-06,1.1714471955516956e-05,0.685,0.855669800175008,1.1710463870610238e-06,1.3576361442421902e-10
30,0.0792,0.95781,0.0,1.79139000000002e-05,0.792,0.7932764749651616,0.0,0.0
31,0.0916,0.94392,1.0004980034950062e-05,2.9848709905079345e-05,0.916,0.7250363588131385,7.489832654260572e-06,2.868094922297766e-09
32,0.106,0.922604995004995,1.7494992519967542e-05,5.05264361013618e-05,1.0599999999999998,0.654521727371446,1.1002971815443643e-05,3.2145320189097482e-09
33,0.1226,0.893454995004995,3.2499967564902624e-05,8.020528477266989e-05,1.226,0.5853057693327919,1.3566529816902016e-05,1.9665048531845826e-09
34,0.1419,0.8589900299700298,0.0001233315535613,0.0001158649007132,1.4189999999999998,0.519016515224879,0.018381560590554527,0.016502127239350725
35,0.1641,0.8193683916083916,7.197156489863782e-05,0.0001618490992747,1.6409999999999998,0.457730404973411,0.027750965935065475,0.024855090127462273
36,0.1899,0.7762799800199802,0.0002226921130817,0.0001969578201742,1.899,0.4015237067936949,0.04523246921338661,0.03880994687887198
37,0.2197,0.7337457642357641,0.0004668305520653,0.000181715436721,2.197,0.3510102786764392,0.10218388367740588,0.08431639529548353
38,0.2541,0.6940521078921077,0.0009552018610759,0.0002585244205688,2.541,0.3060836318705021,0.1382076327894039,0.10824295359126002
39,0.294,0.6568056543456544,0.0017840787584044,0.0002581775516076,2.9399999999999995,0.2662459287936297,0.21755863892474608,0.15000398017143016
40,0.3401,0.6221765834165836,0.0016356829584002,0.0003540148935803,3.401,0.2312659125814202,0.20161072491279028,0.14405335917637702
41,0.3935,0.5906814785214786,0.0025316504274945,0.000346843716817,3.935,0.2006045683646631,0.18655229924950306,0.13890928130387556
42,0.4552,0.5644980819180818,0.0053081140038782,0.0004323019022971,4.552,0.1738824652804191,0.2606735391093108,0.1666849776247937
43,0.5266,0.5422981718281717,0.0065049097954992,0.000389516883066,5.265999999999999,0.1506105134934452,0.32569023635763455,0.19733258900200756
44,0.6093,0.5232903896103897,0.0080379112795296,0.0003553825977594,6.092999999999999,0.130365498146058,0.4163990935659948,0.2126468507475951
45,0.7049,0.5056386913086913,0.0122654439067426,0.000369876229905,7.049,0.1128126439073111,0.4759561330862191,0.21819848883305884
46,0.8154,0.4900305994005993,0.0152208239113533,0.0003628439041009,8.154,0.0976071848038596,0.5446504678044655,0.2156637815180568
47,0.9434,0.4769089310689311,0.0169005342908839,0.0003396953679631,9.434,0.0844173114063452,0.5668386364143637,0.2231862762000378
48,1.0914,0.4652246653346654,0.0200370947733585,0.0003637749781665,10.913999999999998,0.0730043579327941,0.6347754961760174,0.20773780596717323
49,1.2626,0.4570900999000999,0.0212505242010736,0.000386129479685,12.626,0.0631277657203553,0.5852360219636757,0.21095210220669489
50,1.4607,0.4488853846153846,0.0219230095179545,0.0003832008667826,14.607,0.0545807997750049,0.5889390507779404,0.221979677359724
51,1.6898,0.4435986513486514,0.025557478046429,0.0004217869457091,16.898,0.0471901463203058,0.5944583247900828,0.21758116804276145
52,1.955,0.4373015884115884,0.0248132257752237,0.0004564556288445,19.55,0.0407947194157756,0.6174083036107272,0.20629312619060852
53,2.2617,0.4320282017982018,0.0245289066378177,0.0004663806576611,22.617,0.0352665990035331,0.7138602942678354,0.1801480103421601
54,2.6165,0.4285720579420579,0.0257814409167256,0.0004215229871158,26.165,0.030486923733238,0.7210241796392145,0.1748235705091065
55,3.027,0.424574905094905,0.0287369744341572,0.0004509065156917,30.27,0.0263541279251804,0.7051710468584861,0.178333544841964
56,3.5019,0.4209037462537462,0.029247655900543,0.0004399726597353,35.019,0.0227812369315893,0.7203671188301162,0.1745881350316726
57,4.0513,0.4176872627372627,0.0310008531328811,0.0004533734401737,40.513,0.0196925319467447,0.7148747131482139,0.18033618265475165
58,4.6869,0.4152846453546452,0.0276463538858743,0.0004559424033559,46.86899999999999,0.0170224248099696,0.6110691901502258,0.21068472999928312
59,5.4222,0.4136414685314685,0.0292294110484919,0.0004520290870946,54.222,0.0147143102790082,0.6332351868804514,0.2073085382404704
60,6.2729,0.4119037462537463,0.0311019724331612,0.0004539860754704,62.729,0.0127190098219283,0.73064487326523,0.16979204526675787
61,7.257,0.4093933366633367,0.0286653235475812,0.0004216041485358,72.57,0.0109943407848368,0.6942263864167812,0.18824840157471673
62,8.3956,0.4081223876123876,0.0336510480927663,0.0004378489482045,83.95599999999999,0.0095033790910153,0.6941323295476866,0.1881409017836837
63,9.7127,0.4060933966033966,0.0318281376365891,0.0004538553772001,97.127,0.0082147133609192,0.761701000743619,0.15517606413326943
64,11.2365,0.4050868831168832,0.0314824297580541,0.0004366633182692,112.365,0.0071007344684167,0.6957315044254091,0.18887906969035403
65,12.9994,0.4041262737262737,0.0311759823792591,0.000424848332307,129.994,0.0061377962941543,0.6965814973102752,0.18944723928757112
66,15.0389,0.4032902097902098,0.0338606640512334,0.0004133940752653,150.38899999999998,0.0053054324526497,0.7072965097267847,0.18570147343751958
67,17.3983,0.4027162737262737,0.030924954046952,0.0004084467631368,173.98299999999998,0.0045859662592508,0.7161337252290342,0.18076382077570952
68,20.1279,0.4023848351648352,0.0320504969156717,0.0004090798864987,201.279,0.0039640562523272,0.6666862538665569,0.20016228410088743
69,23.2857,0.4020002597402597,0.0320957130382105,0.0004231457254557,232.857,0.0034264896838097,0.7065683952224431,0.185438942502333
70,26.9389,0.4018722277722278,0.0313566175083657,0.0004314833604457,269.389,0.0029618237135498,0.734055590869266,0.17119552046188158
71,31.1653,0.4013307992007992,0.0317488680350618,0.0004216555999575,311.653,0.0025601652853341,0.6582122682570657,0.20358139360117344
72,36.0547,0.4012135964035964,0.0324597057288365,0.0004204990764419,360.547,0.0022129806594674,0.7444096758778485,0.16654006500512605
73,41.7112,0.4009624075924077,0.0316801555088268,0.0004359790406926,417.112,0.0019128766289846,0.6676562671854007,0.20003230268971076
74,48.2552,0.400632007992008,0.0318098402496604,0.0004416242920819,482.552,0.0016534673770256,0.7631093485159569,0.15604273668252547
75,55.8259,0.4008313786213786,0.032542724208858,0.0004428863950693,558.2589999999999,0.0014292364907834,0.6918843139561635,0.18709007506437303
76,64.5842,0.4007699100899101,0.0322519246787178,0.0004437061029855,645.8419999999999,0.0012354170865162,0.7351134806288958,0.17167807061849708
77,74.7167,0.4002824075924076,0.0321181617982417,0.0004426860102274,747.167,0.0010678795002944,0.7421712473806408,0.16608332277002794
78,86.4388,0.400215994005994,0.0318264672789747,0.0004347929632264,864.3879999999999,0.0009230627713744,0.7165269135251073,0.18127167076739442
79,100.0,0.3997878121878122,0.0318295944016023,0.000442101725587,1000.0,0.0007978844278221,0.7055461273951393,0.17943814723775753
