,stdWeights,<A>,<var(A)>,var(<A>),<BH>,var(BH)
0,0.001,0.9990000000000002,0.0,0.0,0.0,0.0
1,0.0012,0.9990000000000002,0.0,0.0,0.0,0.0
2,0.0013,0.9990000000000002,0.0,0.0,0.0,0.0
3,0.0015,0.9990000000000002,0.0,0.0,0.0,0.0
4,0.0018,0.9990000000000002,0.0,0.0,0.0,0.0
5,0.0021,0.9990000000000002,0.0,0.0,0.0,0.0
6,0.0024,0.9990000000000002,0.0,0.0,0.0,0.0
7,0.0028,0.9990000000000002,0.0,0.0,0.0,0.0
8,0.0032,0.9990000000000002,0.0,0.0,0.0,0.0
9,0.0037,0.9990000000000002,0.0,0.0,0.0,0.0
10,0.0043,0.9990000000000002,0.0,0.0,0.0,0.0
11,0.005,0.9990000000000002,0.0,0.0,0.0,0.0
12,0.0057,0.9990000000000002,0.0,0.0,0.0,0.0
13,0.0066,0.9990000000000002,0.0,0.0,0.0,0.0
14,0.0077,0.9990000000000002,0.0,0.0,0.0,0.0
15,0.0089,0.9990000000000002,0.0,0.0,0.0,0.0
16,0.0103,0.9990000000000002,0.0,0.0,0.0,0.0
17,0.0119,0.9990000000000002,0.0,0.0,0.0,0.0
18,0.0138,0.9990000000000002,0.0,0.0,0.0,0.0
19,0.0159,0.9990000000000002,0.0,0.0,0.0,0.0
20,0.0184,0.9990000000000002,0.0,0.0,0.0,0.0
21,0.0213,0.9990000000000002,0.0,0.0,0.0,0.0
22,0.0247,0.9990000000000002,0.0,0.0,0.0,0.0
23,0.0286,0.9990000000000002,0.0,0.0,0.0,0.0
24,0.033,0.9990000000000002,0.0,0.0,0.0,0.0
25,0.0382,0.9989900000000004,0.0,9.90000000000882e-09,0.0,0.0
26,0.0442,0.9989400000000002,0.0,5.640000000005018e-08,0.0,0.0
27,0.0512,0.9988,0.0,1.6000000000014246e-07,0.0,0.0
28,0.0592,0.9985200000000002,0.0,4.696000000001563e-07,0.0,0.0
29,0.0685,0.9979300000000002,0.0,1.0651000000000305e-06,0.0,0.0
30,0.0792,0.99688,0.0,2.425599999999989e-06,0.0,0.0
31,0.0916,0.9942749950049948,2.4999975049925096e-06,4.116872754717846e-06,1.1710463870610238e-06,1.3576361442421902e-10
32,0.106,0.98925,0.0,8.367500000000124e-06,0.0,0.0
33,0.1226,0.97973,0.0,1.5417100000000253e-05,0.0,0.0
34,0.1419,0.9637399999999998,0.0,2.9132400000000013e-05,0.0,0.0
35,0.1641,0.9400216683316682,4.719995289425858e-06,4.3406508789810966e-05,0.00917067168129914,0.008323873107414087
36,0.1899,0.908735014985015,9.251988770470288e-05,6.521127903814423e-05,0.009210740260588624,0.008347376013381858
37,0.2197,0.8724347852147852,0.0004058407526539,8.293840777763715e-05,0.036783107399101025,0.03239531529575096
