,Unnamed: 0,stdWeights,<BH>,var(BH),sigma_star,balance
0,0,0.001,0.0,0.0,0.01,-1.0
1,1,0.0012,0.0,0.0,0.011999999999999999,-1.0
2,2,0.0013,0.0,0.0,0.013,-1.0
3,3,0.0015,0.0,0.0,0.015,-1.0
4,4,0.0018,0.0,0.0,0.018,-1.0
5,5,0.0021,0.0,0.0,0.020999999999999998,-1.0
6,6,0.0024,0.0,0.0,0.023999999999999997,-1.0
7,7,0.0028,0.0,0.0,0.027999999999999997,-1.0
8,8,0.0032,0.0,0.0,0.032,-1.0
9,9,0.0037,0.0,0.0,0.037,-1.0
10,10,0.0043,0.0,0.0,0.043,-1.0
11,11,0.005,0.0,0.0,0.049999999999999996,-1.0
12,12,0.0057,0.0,0.0,0.057,-1.0
13,13,0.0066,0.0,0.0,0.06599999999999999,-1.0
14,14,0.0077,0.0,0.0,0.077,-1.0
15,15,0.0089,0.0,0.0,0.089,-1.0
16,16,0.0103,0.0,0.0,0.103,-1.0
17,17,0.0119,0.0,0.0,0.11900000000000001,-1.0
18,18,0.0138,0.0,0.0,0.13799999999999998,-0.9999999999995719
19,19,0.0159,0.0,0.0,0.159,-0.9999999996811161
20,20,0.0184,0.0,0.0,0.184,-0.9999999451367212
21,21,0.0213,0.0,0.0,0.213,-0.9999973317888119
22,22,0.0247,0.0,0.0,0.247,-0.9999484713385688
23,23,0.0286,0.0,0.0,0.286,-0.9995286016839463
24,24,0.033,0.0,0.0,0.33,-0.9975569151728395
25,25,0.0382,0.0,0.0,0.38199999999999995,-0.991150161352996
26,26,0.0442,0.0,0.0,0.442,-0.976329980327162
27,27,0.0512,0.0,0.0,0.512,-0.9491952147077407
28,28,0.0592,0.0,0.0,0.592,-0.9088168199188753
29,29,0.0685,0.0,0.0,0.685,-0.855669800175008
30,30,0.0792,0.0091837783221175,0.0083476859908949,0.792,-0.7932764749651616
31,31,0.0916,0.0183584266969097,0.0165029727836668,0.9159999999999999,-0.7250363588131385
32,32,0.106,0.0365146622615388,0.0319738862968791,1.0599999999999998,-0.654521727371446
33,33,0.1226,0.0627855941318712,0.0522518613267297,1.226,-0.5853057693327919
34,34,0.1419,0.1364914339013497,0.1054254852985705,1.4189999999999998,-0.519016515224879
35,35,0.1641,0.2159108161945329,0.1476867366655891,1.6409999999999998,-0.457730404973411
36,36,0.1899,0.4316904798220349,0.2109871795613281,1.899,-0.4015237067936949
37,37,0.2197,0.4933985454733588,0.2164314480127648,2.197,-0.3510102786764392
38,38,0.2541,0.5202438935850021,0.2130882482693989,2.541,-0.3060836318705021
39,39,0.294,0.6100224474753261,0.2006593216025624,2.9399999999999995,-0.26624592879362974
40,40,0.3401,0.5881672329654757,0.2043871638068627,3.401,-0.2312659125814202
41,41,0.3935,0.6298408840647851,0.1958872257916591,3.935,-0.2006045683646631
42,42,0.4552,0.5899957195938262,0.2139947980028815,4.552,-0.17388246528041915
43,43,0.5266,0.6139184929183792,0.2040888159243657,5.265999999999999,-0.15061051349344523
44,44,0.6093,0.6311397839933895,0.1971220676444235,6.092999999999999,-0.13036549814605802
45,45,0.7049,0.5539369975187364,0.2141684223668942,7.0489999999999995,-0.11281264390731113
46,46,0.8154,0.48012600896423,0.2219534548054107,8.154,-0.09760718480385963
47,47,0.9434,0.544397324035939,0.2156839803115536,9.434,-0.08441731140634524
48,48,1.0914,0.5355085882138796,0.2176513278937185,10.913999999999998,-0.07300435793279415
49,49,1.2626,0.5449630820168853,0.216589136660541,12.626,-0.06312776572035536
50,50,1.4607,0.4745807845896677,0.2168773597783712,14.607000000000001,-0.054580799775004914
51,51,1.6898,0.4720744532051044,0.215374100098692,16.898,-0.04719014632030581
52,52,1.955,0.5693765266765007,0.2084127760206358,19.55,-0.04079471941577565
53,53,2.2617,0.4893709480837448,0.2132342792495506,22.616999999999997,-0.035266599003533176
54,54,2.6165,0.4745785739625797,0.2171721012159028,26.164999999999996,-0.030486923733238094
55,55,3.027,0.4827764111843625,0.2159473083940777,30.27,-0.026354127925180437
56,56,3.5019,0.4989161965982467,0.2129900212281534,35.019,-0.022781236931589382
57,57,4.0513,0.4984488999262902,0.2126572850209607,40.513,-0.01969253194674477
58,58,4.6869,0.5784575136139746,0.206294372003329,46.86899999999999,-0.017022424809969662
59,59,5.4222,0.5769934427719732,0.2050203915690941,54.222,-0.01471431027900827
60,60,6.2729,0.4904020395239234,0.2142274083444016,62.729,-0.01271900982192838
61,61,7.257,0.4903483703057107,0.2141842694549527,72.57,-0.01099434078483681
62,62,8.3956,0.4906726563603852,0.2144899377181064,83.95599999999999,-0.009503379091015311
63,63,9.7127,0.5485735082246602,0.2098524332692487,97.127,-0.00821471336091928
64,64,11.2365,0.512661674844253,0.2155729476420367,112.365,-0.0071007344684167525
65,65,12.9994,0.4998800185232143,0.2136923829701565,129.994,-0.006137796294154314
66,66,15.0389,0.4998177120560859,0.2136504843676215,150.38899999999998,-0.0053054324526497785
67,67,17.3983,0.5078060368980498,0.2202850460643982,173.98299999999998,-0.0045859662592508815
68,68,20.1279,0.5257660792780152,0.2179347231945972,201.279,-0.00396405625232729
69,69,23.2857,0.4906808099160276,0.2143694485878285,232.85699999999997,-0.003426489683809713
70,70,26.9389,0.4987145314774197,0.2127863115664295,269.389,-0.0029618237135498244
71,71,31.1653,0.4913336131715355,0.2229395821897669,311.65299999999996,-0.002560165285334165
72,72,36.0547,0.4986913290840324,0.2127633748034853,360.54699999999997,-0.0022129806594674284
73,73,41.7112,0.4880677750288583,0.2196392458037264,417.11199999999997,-0.0019128766289846862
74,74,48.2552,0.4890595001057284,0.2130000990550798,482.552,-0.0016534673770256312
75,75,55.8259,0.5069789890733643,0.219107357834895,558.2589999999999,-0.0014292364907834473
76,76,64.5842,0.4890720659739683,0.213012961813208,645.8419999999999,-0.001235417086516235
77,77,74.7167,0.5030643945525474,0.2166634994854744,747.167,-0.0010678795002944694
78,78,86.4388,0.4893709480837448,0.2132342792495506,864.3879999999999,-0.0009230627713744747
79,79,100.0,0.4635715102330568,0.2154328006849654,1000.0,-0.0007978844278221252
