,stdWeights,<BH>,var(BH)
0,0.001,0.0,0.0
1,0.0012,0.0,0.0
2,0.0013,0.0,0.0
3,0.0015,0.0,0.0
4,0.0018,0.0,0.0
5,0.0021,0.0,0.0
6,0.0024,0.0,0.0
7,0.0028,0.0,0.0
8,0.0032,0.0,0.0
9,0.0037,0.0,0.0
10,0.0043,0.0,0.0
11,0.005,0.0,0.0
12,0.0057,0.0,0.0
13,0.0066,0.0,0.0
14,0.0077,0.0,0.0
15,0.0089,0.0,0.0
16,0.0103,0.0,0.0
17,0.0119,0.0,0.0
18,0.0138,0.0,0.0
19,0.0159,0.0,0.0
20,0.0184,0.0,0.0
21,0.0213,0.0,0.0
22,0.0247,0.0,0.0
23,0.0286,0.0,0.0
24,0.033,0.0,0.0
25,0.0382,0.0,0.0
26,0.0442,0.0,0.0
27,0.0512,0.0,0.0
28,0.0592,0.0,0.0
29,0.0685,6.318786267199548e-06,2.7471304915311805e-09
30,0.0792,0.03670808569681633,0.03230228908248758
31,0.0916,0.12711739719752527,0.0992779271556686
32,0.106,0.4293781883190587,0.20861927431671848
33,0.1226,0.6133428512311971,0.2032100358693481
34,0.1419,0.6916803489365424,0.19559202446296214
35,0.1641,0.8075523742918649,0.141825766933523
36,0.1899,0.8958060570224099,0.07965332326659001
37,0.2197,0.9439736023888973,0.03767564314589677
38,0.2541,0.938458236651187,0.04670197654564023
39,0.294,0.8900971726637327,0.07958697761635378
40,0.3401,0.8189343734922204,0.1374495414795029
41,0.3935,0.8097003648489342,0.1434666630672821
42,0.4552,0.8328907429596213,0.12307961505551857
43,0.5266,0.8455926725917038,0.11670136508225104
44,0.6093,0.7693651608054901,0.16049928476611997
45,0.7049,0.7647688850025651,0.16504034058782477
46,0.8154,0.7830613544577981,0.14822516558351803
47,0.9434,0.7595050170408675,0.16372626208589836
48,1.0914,0.7493269662795241,0.1683453845056335
49,1.2626,0.7278733589474846,0.17684757664901476
50,1.4607,0.6793006783416068,0.19840358497954413
51,1.6898,0.7188978466153167,0.1821284126925801
52,1.955,0.6568875136736316,0.20218204746367513
53,2.2617,0.7029925757197724,0.17491201350198815
54,2.6165,0.6183217005986169,0.21587058404190337
55,3.027,0.6135471912667234,0.21245915062736567
56,3.5019,0.6450469012952138,0.20538203858514592
57,4.0513,0.5991977028185036,0.2197082116574926
58,4.6869,0.6208414087359988,0.21348196392441113
59,5.4222,0.6363359361038305,0.20939182432732598
60,6.2729,0.6169384417588669,0.21386393758748093
61,7.257,0.6231429023431534,0.2099215656980732
62,8.3956,0.643058550230084,0.20382953178173424
63,9.7127,0.6182289946831658,0.21470706498021058
64,11.2365,0.6600466644448417,0.19616671245896836
65,12.9994,0.6316303438327485,0.20503009081878237
66,15.0389,0.6720472414912088,0.19293253967084603
67,17.3983,0.6564901145642013,0.19630178854696578
68,20.1279,0.6601063985842702,0.19628762593213192
69,23.2857,0.6504358065399497,0.19879849903227098
70,26.9389,0.6683472509779559,0.19104540752747665
71,31.1653,0.5897633189210122,0.213654604995355
72,36.0547,0.656908434324521,0.19484562624909316
73,41.7112,0.5837609703240063,0.21853701971164863
74,48.2552,0.6660589321422968,0.19113260884318342
75,55.8259,0.6219544086897336,0.20581485862865376
76,64.5842,0.702969062663651,0.17481299655282925
77,74.7167,0.6126957041648883,0.2119737757303341
78,86.4388,0.6949971277910622,0.1797462809528601
79,100.0,0.5962765681549947,0.2185585531368309
