,stdWeights,<BH>,var(BH)
0,0.001,0.0,0.0
1,0.0012,0.0,0.0
2,0.0013,0.0,0.0
3,0.0015,0.0,0.0
4,0.0018,0.0,0.0
5,0.0021,0.0,0.0
6,0.0024,0.0,0.0
7,0.0028,0.0,0.0
8,0.0032,0.0,0.0
9,0.0037,0.0,0.0
10,0.0043,0.0,0.0
11,0.005,0.0,0.0
12,0.0057,0.0,0.0
13,0.0066,0.0,0.0
14,0.0077,0.0,0.0
15,0.0089,0.0,0.0
16,0.0103,0.0,0.0
17,0.0119,0.0,0.0
18,0.0138,0.0,0.0
19,0.0159,0.0,0.0
20,0.0184,0.0,0.0
21,0.0213,0.0,0.0
22,0.0247,0.0,0.0
23,0.0286,0.0,0.0
24,0.033,0.0,0.0
25,0.0382,0.0,0.0
26,0.0442,0.0,0.0
27,0.0512,0.0,0.0
28,0.0592,0.0,0.0
29,0.0685,0.0,0.0
30,0.0792,1.1710463870610238e-06,1.3576361442421902e-10
31,0.0916,1.1710463870610238e-06,1.3576361442421904e-10
32,0.106,2.3420927741220475e-06,2.6878452956714067e-10
33,0.1226,2.3420927741220475e-06,2.6878452956714067e-10
34,0.1419,1.2174018202504666e-05,3.324525652551153e-09
35,0.1641,1.4052556644732283e-05,1.4481452205250027e-09
36,0.1899,3.369578697091991e-05,9.515364173361707e-09
37,0.2197,0.009212566644944846,0.00832311455493473
38,0.2541,0.0371260848049165,0.033016513080768944
39,0.294,0.03742662823437526,0.03354550222266526
40,0.3401,0.1187777063666562,0.09429944022775141
41,0.3935,0.1735736401174998,0.1283519577531033
42,0.4552,0.20366073659316566,0.14709536927542805
43,0.5266,0.19589723341625764,0.14438835644913792
44,0.6093,0.2868217580948023,0.1832101397905969
45,0.7049,0.3327188730240346,0.19707781351455592
46,0.8154,0.3395634591155414,0.1968222411906573
47,0.9434,0.3702004464190486,0.2058485191693114
48,1.0914,0.4267348853973407,0.2138986175799441
49,1.2626,0.4775416316518257,0.21910145170867626
50,1.4607,0.550443699385633,0.21151817654686006
51,1.6898,0.4735054054693586,0.22453445766616625
52,1.955,0.5574388934068125,0.21584283044993413
53,2.2617,0.6523936111125981,0.20074803699611204
54,2.6165,0.6317821223483405,0.1975602885257146
55,3.027,0.6577160287450898,0.18694760376075284
56,3.5019,0.6454761275284188,0.1971932412291277
57,4.0513,0.6298402201217325,0.20501431199060746
58,4.6869,0.5534442675996053,0.22204421203274463
59,5.4222,0.539970413008422,0.22078418351224485
60,6.2729,0.619738832770214,0.20726643403255404
61,7.257,0.6467223233864382,0.19793902590422616
62,8.3956,0.686833819270347,0.184392300992928
63,9.7127,0.5162065409036554,0.21918479026802495
64,11.2365,0.5755818417002866,0.2132012278029994
65,12.9994,0.6769069385586094,0.18757129386918897
66,15.0389,0.680052185048591,0.18924035408161083
67,17.3983,0.5279457498066479,0.22017850765677774
68,20.1279,0.5984488878103827,0.21152050798898825
69,23.2857,0.6775237329617555,0.18792034844055788
70,26.9389,0.6622881596160226,0.19748886293959386
71,31.1653,0.5886529163828204,0.21335804269774616
72,36.0547,0.6639996125794031,0.19869065958206725
73,41.7112,0.6290134095433821,0.20411147586508846
74,48.2552,0.6533034153729639,0.2014919797857436
75,55.8259,0.650355555518056,0.19966836757433412
76,64.5842,0.6714959371301339,0.1939009549143371
77,74.7167,0.6295107117478672,0.2046956948899469
78,86.4388,0.6514807317315229,0.20039872687844393
79,100.0,0.6361774579158445,0.2006508858994939
