,stdWeights,<A>,var(A),<BH>,var(BH)
0,0.001,0.0,0.0,0.0,0.0
1,0.0012,0.0,0.0,0.0,0.0
2,0.0013,0.0,0.0,0.0,0.0
3,0.0015,0.0,0.0,0.0,0.0
4,0.0018,0.0,0.0,0.0,0.0
5,0.0021,0.0,0.0,0.0,0.0
6,0.0024,0.0,0.0,0.0,0.0
7,0.0028,0.0,0.0,0.0,0.0
8,0.0032,0.0,0.0,0.0,0.0
9,0.0037,0.0,0.0,0.0,0.0
10,0.0043,0.0,0.0,0.0,0.0
11,0.005,0.0,0.0,0.0,0.0
12,0.0057,0.0,0.0,0.0,0.0
13,0.0066,0.0,0.0,0.0,0.0
14,0.0077,0.0,0.0,0.0,0.0
15,0.0089,0.0,0.0,0.0,0.0
16,0.0103,0.0,0.0,0.0,0.0
17,0.0119,0.0,0.0,0.0,0.0
18,0.0138,0.0,0.0,0.0,0.0
19,0.0159,0.0,0.0,0.0,0.0
20,0.0184,0.0,0.0,0.0,0.0
21,0.0213,0.0,0.0,0.0,0.0
22,0.0247,0.0,0.0,0.0,0.0
23,0.0286,0.0,0.0,0.0,0.0
24,0.033,0.0,0.0,0.0,0.0
25,0.0382,0.0,0.0,0.0,0.0
26,0.0442,4.0000000000000015e-06,0.0,0.0,0.0
27,0.0512,8.000000000000003e-06,0.0,0.0,0.0
28,0.0592,1.6000000000000006e-05,0.0,0.0,0.0
29,0.0685,3.800199800199801e-05,9.999990019970031e-07,1.1710463870610238e-06,1.3576361442421904e-10
30,0.0792,0.0001117242757242,1.3448202147502836e-05,0.018053088429695142,0.01596721210483105
31,0.0916,0.0002307492507492,2.536881300517664e-05,0.026928532333742383,0.02342795802279149
32,0.106,0.0007214025974025,9.011903980135746e-05,0.09968838701490793,0.08033102628022071
33,0.1226,0.0014922757242757,0.0002927083146623,0.20036125280187406,0.14242405571640304
34,0.1419,0.0078044155844155,0.0025311364679276,0.4311166828291,0.21090447306775062
35,0.1641,0.0308012467532467,0.0265349797535132,0.7143706093993982,0.17159198049730925
36,0.1899,0.074878957042957,0.0767902442652253,0.9123414208845304,0.06368579626153487
37,0.2197,0.1114481838161838,0.0961916175572679,0.9691492902806693,0.019592861272691105
38,0.2541,0.144811972027972,0.0980927309413862,0.9837019349769908,0.009767731529202682
39,0.294,0.176740999000999,0.097079724535205,0.9821796009072434,0.00991513715246966
40,0.3401,0.2024214425574425,0.098437809790609,0.9940567952346752,2.87054822954667e-06
41,0.3935,0.226934937062937,0.0948482200157485,0.9942250686216626,2.078293989974301e-06
42,0.4552,0.249106921078921,0.0910508153983878,0.9942019069562354,2.2814820961105577e-06
43,0.5266,0.268602961038961,0.0830184861532074,0.9829198210994451,0.009838051175025519
44,0.6093,0.2841548451548452,0.0794456482817881,0.9831881319506003,0.009623279813766315
45,0.7049,0.2998065254745254,0.0736472478171179,0.9833787154026931,0.009815435745925579
46,0.8154,0.3123406753246753,0.0696080485428657,0.9718736179072667,0.019447199099519693
47,0.9434,0.3248789850149851,0.065556196219365,0.9705825521519279,0.020011423973317437
48,1.0914,0.3338113126873127,0.0621624312231225,0.9622264054631268,0.0285183583213294
49,1.2626,0.3422405674325673,0.0584845799235729,0.9537558282221709,0.03763428811135803
50,1.4607,0.349903976023976,0.056022028001968,0.9804899888853043,0.009957271765742489
51,1.6898,0.3562714085914086,0.0516753813618948,0.9602090830721342,0.028747880587262697
52,1.955,0.3622255784215784,0.0459627083565784,0.8985497079003124,0.08013337156435306
53,2.2617,0.3672919560439561,0.0481182843370415,0.8724732463353765,0.09498375436560197
54,2.6165,0.3717664375624376,0.0464546317538605,0.8934824428189317,0.07991179721802522
55,3.027,0.3748418621378621,0.0460251444299955,0.9188889759248259,0.05562472601063757
56,3.5019,0.3777502737262738,0.0438813854596951,0.8845944070817434,0.08715141474551973
57,4.0513,0.3807838921078921,0.0438789774221782,0.8896832743022167,0.07900361819524142
58,4.6869,0.3829257702297702,0.0422667938974112,0.9016267276932358,0.08000021229130004
59,5.4222,0.3853771388611389,0.0387279641357643,0.9195201746434414,0.06373875517710609
60,6.2729,0.3870310409590409,0.0407713539846766,0.861556239952805,0.10116495664473928
61,7.257,0.3886866093906094,0.0396484896282538,0.892047707283711,0.07876133153650577
62,8.3956,0.389650005994006,0.0402140386845921,0.8612788682594815,0.10135003896778484
63,9.7127,0.3909553846153846,0.0374691897752597,0.9384148154790247,0.04657360954654158
64,11.2365,0.3919423976023976,0.037314533993479,0.9254480392428,0.05542010561506126
65,12.9994,0.3930659900099901,0.0366839779361497,0.8260088037590994,0.1299050821496345
66,15.0389,0.3941498661338661,0.0360139426926719,0.7964405373128238,0.14912864001830425
67,17.3983,0.3947995284715284,0.035081226537698,0.8806133860750375,0.09583045967399277
