,Unnamed: 0,stdWeights,Chaotic,Fix,Non-Trivial,Cyclic,No-Activity,Saturated,balance
0,0,0.001,0,0,0,0,100,0,-1.0
1,1,0.0012,0,0,0,0,100,0,-1.0
2,2,0.0013,0,0,0,0,100,0,-1.0
3,3,0.0015,0,0,0,0,100,0,-1.0
4,4,0.0018,0,0,0,0,100,0,-1.0
5,5,0.0021,0,0,0,0,100,0,-1.0
6,6,0.0024,0,0,0,0,100,0,-1.0
7,7,0.0028,0,0,0,0,100,0,-1.0
8,8,0.0032,0,0,0,0,100,0,-1.0
9,9,0.0037,0,0,0,0,100,0,-1.0
10,10,0.0043,0,0,0,0,100,0,-1.0
11,11,0.005,0,0,0,0,100,0,-1.0
12,12,0.0057,0,0,0,0,100,0,-1.0
13,13,0.0066,0,0,0,0,100,0,-1.0
14,14,0.0077,0,0,0,0,100,0,-1.0
15,15,0.0089,0,0,0,0,100,0,-1.0
16,16,0.0103,0,0,0,0,100,0,-1.0
17,17,0.0119,0,0,0,0,100,0,-1.0
18,18,0.0138,0,0,0,0,100,0,-0.9999999999995719
19,19,0.0159,0,0,0,0,100,0,-0.9999999996811161
20,20,0.0184,0,0,0,0,100,0,-0.9999999451367212
21,21,0.0213,0,0,0,0,100,0,-0.9999973317888119
22,22,0.0247,0,0,0,0,100,0,-0.9999484713385688
23,23,0.0286,0,0,0,0,100,0,-0.9995286016839463
24,24,0.033,0,0,0,0,100,0,-0.9975569151728395
25,25,0.0382,0,0,0,0,100,0,-0.991150161352996
26,26,0.0442,0,0,0,0,100,0,-0.976329980327162
27,27,0.05,0,0,0,0,100,0,-0.9544997361036416
28,28,0.0512,0,0,0,0,100,0,-0.9491952147077407
29,29,0.0592,0,3,0,0,97,0,-0.9088168199188753
30,30,0.06,0,4,0,0,96,0,-0.9044192954543706
31,31,0.0635,0,5,0,0,95,0,-0.8846981107940556
32,32,0.0672,0,5,0,1,94,0,-0.8632742208787966
33,33,0.0685,0,7,0,1,92,0,-0.855669800175008
34,34,0.0705,0,6,0,4,90,0,-0.8439375728737034
35,35,0.0711,0,6,0,5,89,0,-0.8404153221765903
36,36,0.0753,0,11,0,10,79,0,-0.81582891251028
37,37,0.0775,0,13,0,12,75,0,-0.8030613200479542
38,38,0.0792,0,17,0,15,68,0,-0.7932764749651616
39,39,0.0797,0,19,0,17,64,0,-0.790414182405519
40,40,0.0843,1,16,0,41,42,0,-0.7644723162839276
41,41,0.0893,26,3,1,60,10,0,-0.7372098784876862
