,stdWeight,Chaotic,Fix,Non-Trivial,Cyclic,No-Activity,Saturated
0,0.001,0,0,0,0,0,100
1,0.0012,0,0,0,0,0,100
2,0.0013,0,0,0,0,0,100
3,0.0015,0,0,0,0,0,100
4,0.0018,0,0,0,0,0,100
5,0.0021,0,0,0,0,0,100
6,0.0024,0,0,0,0,0,100
7,0.0028,0,0,0,0,0,100
8,0.0032,0,0,0,0,0,100
9,0.0037,0,0,0,0,0,100
10,0.0043,0,0,0,0,0,100
11,0.005,0,0,0,0,0,100
12,0.0057,0,0,0,0,0,100
13,0.0066,0,0,0,0,0,100
14,0.0077,0,0,0,0,0,100
15,0.0089,0,0,0,0,0,100
16,0.0103,0,0,0,0,0,100
17,0.0119,0,0,0,0,0,100
18,0.0138,0,0,0,0,0,100
19,0.0159,0,0,0,0,0,100
20,0.0184,0,0,0,0,0,100
21,0.0213,0,0,0,0,0,100
22,0.0247,0,0,0,0,0,100
23,0.0286,0,0,0,0,0,100
24,0.033,0,0,0,0,0,100
25,0.0382,0,0,0,0,0,100
26,0.0442,0,0,0,0,0,100
27,0.0512,0,0,0,0,0,100
28,0.0592,0,0,0,0,0,100
29,0.0685,0,0,0,0,0,100
30,0.0792,0,0,0,0,0,100
31,0.0916,0,1,0,0,0,99
32,0.106,0,1,0,1,0,98
33,0.1226,0,8,0,2,0,90
34,0.1419,0,29,0,0,0,71
35,0.1641,0,58,0,2,0,40
36,0.1899,0,79,0,5,0,16
37,0.2197,0,84,0,12,0,4
38,0.2541,0,80,0,20,0,0
39,0.294,0,75,0,25,0,0
40,0.3401,0,59,0,41,0,0
41,0.3935,0,43,0,57,0,0
42,0.4552,0,43,0,57,0,0
43,0.5266,0,30,0,70,0,0
44,0.6093,0,21,0,79,0,0
45,0.7049,0,24,0,76,0,0
46,0.8154,0,10,0,90,0,0
47,0.9434,0,10,0,90,0,0
48,1.0914,4,8,1,87,0,0
49,1.2626,5,7,0,88,0,0
50,1.4607,13,4,1,82,0,0
51,1.6898,11,5,0,84,0,0
52,1.955,14,7,0,79,0,0
53,2.2617,21,7,1,71,0,0
54,2.6165,23,7,1,69,0,0
55,3.027,24,5,3,68,0,0
56,3.5019,26,5,4,65,0,0
57,4.0513,24,6,2,68,0,0
58,4.6869,31,6,2,61,0,0
59,5.4222,30,4,0,66,0,0
60,6.2729,35,4,0,61,0,0
61,7.257,30,4,0,66,0,0
62,8.3956,32,4,0,64,0,0
63,9.7127,31,4,1,64,0,0
64,11.2365,28,1,0,71,0,0
65,12.9994,32,2,0,66,0,0
66,15.0389,33,1,0,66,0,0
67,17.3983,31,2,1,66,0,0
68,20.1279,31,2,2,65,0,0
69,23.2857,28,3,2,67,0,0
70,26.9389,32,3,1,64,0,0
71,31.1653,36,3,2,59,0,0
72,36.0547,32,3,4,61,0,0
73,41.7112,30,4,1,65,0,0
74,48.2552,35,6,0,59,0,0
75,55.8259,37,4,1,58,0,0
76,64.5842,37,4,5,54,0,0
77,74.7167,32,3,3,62,0,0
78,86.4388,35,4,1,60,0,0
79,100.0,34,2,0,64,0,0
