,stdWeights,Chaotic,Fix,Non-Trivial,Cyclic,No-Activity,Saturated
0,0.001,0,0,0,0,100,0
1,0.0012,0,0,0,0,100,0
2,0.0013,0,0,0,0,100,0
3,0.0015,0,0,0,0,100,0
4,0.0018,0,0,0,0,100,0
5,0.0021,0,0,0,0,100,0
6,0.0024,0,0,0,0,100,0
7,0.0028,0,0,0,0,100,0
8,0.0032,0,0,0,0,100,0
9,0.0037,0,0,0,0,100,0
10,0.0043,0,0,0,0,100,0
11,0.005,0,0,0,0,100,0
12,0.0057,0,0,0,0,100,0
13,0.0066,0,0,0,0,100,0
14,0.0077,0,0,0,0,100,0
15,0.0089,0,0,0,0,100,0
16,0.0103,0,0,0,0,100,0
17,0.0119,0,0,0,0,100,0
18,0.0138,0,0,0,0,100,0
19,0.0159,0,0,0,0,100,0
20,0.0184,0,0,0,0,100,0
21,0.0213,0,0,0,0,100,0
22,0.0247,0,0,0,0,100,0
23,0.0286,0,0,0,0,100,0
24,0.033,0,0,0,0,100,0
25,0.0382,0,0,0,0,100,0
26,0.0442,0,0,0,0,100,0
27,0.0512,0,1,0,0,99,0
28,0.0592,0,2,0,0,98,0
29,0.0685,0,3,0,0,97,0
30,0.0792,0,7,0,0,93,0
31,0.0916,0,8,0,1,91,0
32,0.106,0,14,0,5,81,0
33,0.1226,0,14,0,13,73,0
34,0.1419,0,16,0,23,61,0
35,0.1641,0,19,0,38,43,0
36,0.1899,0,21,0,55,24,0
37,0.2197,0,24,0,66,10,0
38,0.2541,0,17,0,80,3,0
39,0.294,0,16,0,82,2,0
40,0.3401,0,18,0,80,2,0
41,0.3935,0,16,0,84,0,0
42,0.4552,0,20,0,80,0,0
43,0.5266,0,19,0,81,0,0
44,0.6093,0,20,0,80,0,0
45,0.7049,0,21,0,79,0,0
46,0.8154,1,25,0,74,0,0
47,0.9434,0,20,0,80,0,0
48,1.0914,0,23,0,77,0,0
49,1.2626,0,23,0,77,0,0
50,1.4607,0,26,0,74,0,0
51,1.6898,0,29,0,71,0,0
52,1.955,0,22,0,78,0,0
53,2.2617,0,22,0,78,0,0
54,2.6165,0,21,0,79,0,0
55,3.027,0,23,0,77,0,0
56,3.5019,0,27,0,73,0,0
57,4.0513,0,27,0,73,0,0
58,4.6869,1,27,0,72,0,0
59,5.4222,0,29,0,71,0,0
60,6.2729,0,26,0,74,0,0
61,7.257,0,26,0,74,0,0
62,8.3956,0,26,0,74,0,0
63,9.7127,0,28,0,72,0,0
64,11.2365,0,28,0,72,0,0
65,12.9994,0,28,0,72,0,0
66,15.0389,0,28,0,72,0,0
67,17.3983,0,27,0,73,0,0
68,20.1279,0,27,0,73,0,0
69,23.2857,0,26,0,74,0,0
70,26.9389,0,26,0,74,0,0
71,31.1653,0,24,0,76,0,0
72,36.0547,0,24,0,76,0,0
73,41.7112,0,25,0,75,0,0
74,48.2552,0,25,0,75,0,0
75,55.8259,0,25,0,75,0,0
76,64.5842,0,26,0,74,0,0
77,74.7167,0,26,0,74,0,0
78,86.4388,0,26,0,74,0,0
79,100.0,0,26,0,74,0,0
