,stdWeights,Chaotic,Fix,Non-Trivial,Cyclic,No-Activity,Saturated
0,0.001,0,0,0,0,0,100
1,0.0012,0,0,0,0,0,100
2,0.0013,0,0,0,0,0,100
3,0.0015,0,0,0,0,0,100
4,0.0018,0,0,0,0,0,100
5,0.0021,0,0,0,0,0,100
6,0.0024,0,0,0,0,0,100
7,0.0028,0,0,0,0,0,100
8,0.0032,0,0,0,0,0,100
9,0.0037,0,0,0,0,0,100
10,0.0043,0,0,0,0,0,100
11,0.005,0,0,0,0,0,100
12,0.0057,0,0,0,0,0,100
13,0.0066,0,0,0,0,0,100
14,0.0077,0,0,0,0,0,100
15,0.0089,0,0,0,0,0,100
16,0.0103,0,0,0,0,0,100
17,0.0119,0,0,0,0,0,100
18,0.0138,0,0,0,0,0,100
19,0.0159,0,0,0,0,0,100
20,0.0184,0,0,0,0,0,100
21,0.0213,0,0,0,0,0,100
22,0.0247,0,0,0,0,0,100
23,0.0286,0,0,0,0,0,100
24,0.033,0,0,0,0,0,100
25,0.0382,0,1,0,0,0,99
26,0.0442,0,2,0,0,0,98
27,0.0512,0,4,0,0,0,96
28,0.0592,0,4,0,0,0,96
29,0.0685,0,8,0,0,0,92
30,0.0792,0,22,0,1,0,77
31,0.0916,0,39,0,1,0,60
32,0.106,0,62,0,2,0,36
33,0.1226,0,86,0,2,0,12
34,0.1419,0,91,0,7,0,2
35,0.1641,0,88,0,11,0,1
36,0.1899,0,85,0,15,0,0
37,0.2197,0,74,0,26,0,0
38,0.2541,0,75,0,25,0,0
39,0.294,0,73,0,27,0,0
40,0.3401,0,57,0,43,0,0
41,0.3935,0,42,0,58,0,0
42,0.4552,0,47,0,53,0,0
43,0.5266,0,40,0,60,0,0
44,0.6093,0,35,0,65,0,0
45,0.7049,0,26,0,74,0,0
46,0.8154,0,23,0,77,0,0
47,0.9434,0,18,0,82,0,0
48,1.0914,0,17,0,83,0,0
49,1.2626,0,12,0,88,0,0
50,1.4607,0,10,0,90,0,0
51,1.6898,3,15,0,82,0,0
52,1.955,1,14,0,85,0,0
53,2.2617,1,11,0,88,0,0
54,2.6165,1,12,0,87,0,0
55,3.027,3,11,0,86,0,0
56,3.5019,3,11,0,86,0,0
57,4.0513,3,9,0,88,0,0
58,4.6869,2,9,0,89,0,0
59,5.4222,2,7,0,91,0,0
60,6.2729,3,7,0,90,0,0
61,7.257,2,9,0,89,0,0
62,8.3956,2,10,0,88,0,0
63,9.7127,4,11,1,84,0,0
64,11.2365,2,9,0,89,0,0
65,12.9994,3,9,0,88,0,0
66,15.0389,2,5,1,92,0,0
67,17.3983,2,6,1,91,0,0
68,20.1279,2,6,0,92,0,0
69,23.2857,1,7,0,92,0,0
70,26.9389,3,7,0,90,0,0
71,31.1653,4,5,0,91,0,0
72,36.0547,5,5,1,89,0,0
73,41.7112,5,5,0,90,0,0
74,48.2552,3,5,0,92,0,0
75,55.8259,3,5,0,92,0,0
76,64.5842,4,5,1,90,0,0
77,74.7167,4,5,0,91,0,0
78,86.4388,1,6,0,93,0,0
79,100.0,2,7,0,91,0,0
