,K,delay,N,<C>
0,1.0,-18.0,10000.0,0.0136885572598609
1,1.0,-18.0,10000.0,0.0005588008884602
2,1.0,-18.0,10000.0,-0.0132145239609346
3,1.0,-18.0,10000.0,-0.0043058866001473
4,1.0,-18.0,10000.0,0.004935849777297
5,1.0,-18.0,10000.0,0.005142952798854
6,1.0,-18.0,10000.0,-0.019553468200908
7,1.0,-18.0,10000.0,0.0022656806717857
8,1.0,-18.0,10000.0,0.0035742452847436
9,1.0,-18.0,10000.0,0.0275474429879975
10,1.0,-18.0,10000.0,0.0126851120100719
11,1.0,-18.0,10000.0,0.0003906741028248
12,1.0,-18.0,10000.0,0.004859283498937
13,1.0,-18.0,10000.0,0.0108403030578275
14,1.0,-18.0,10000.0,8.963296227060269e-05
15,1.0,-18.0,10000.0,0.0007570766199912
16,1.0,-18.0,10000.0,0.0050560878499043
17,1.0,-18.0,10000.0,0.0206950214611699
18,1.0,-18.0,10000.0,0.0047278643212153
19,1.0,-18.0,10000.0,0.003418317626713
20,1.0,-14.0,10000.0,0.0090236503758511
21,1.0,-14.0,10000.0,0.000934781499498
22,1.0,-14.0,10000.0,-0.0070463294484543
23,1.0,-14.0,10000.0,0.0045677927888908
24,1.0,-14.0,10000.0,6.343117237831014e-05
25,1.0,-14.0,10000.0,0.0043952287750671
26,1.0,-14.0,10000.0,0.0043882189775451
27,1.0,-14.0,10000.0,0.0130538593715134
28,1.0,-14.0,10000.0,0.0054704323687249
29,1.0,-14.0,10000.0,-0.001961295087344
30,1.0,-14.0,10000.0,-0.0133024181939968
31,1.0,-14.0,10000.0,0.0001591529034326
32,1.0,-14.0,10000.0,-0.0022362354539612
33,1.0,-14.0,10000.0,0.0072858645151031
34,1.0,-14.0,10000.0,0.0087565003870778
35,1.0,-14.0,10000.0,0.0163098092014747
36,1.0,-14.0,10000.0,-0.0063441804603257
37,1.0,-14.0,10000.0,-0.005516088686827
38,1.0,-14.0,10000.0,-0.010867348215349
39,1.0,-14.0,10000.0,0.0117983559026341
40,1.0,-10.0,10000.0,-0.011666151643191
41,1.0,-10.0,10000.0,-0.010290614157216
42,1.0,-10.0,10000.0,-0.0105787027618813
43,1.0,-10.0,10000.0,0.0007715128618109
44,1.0,-10.0,10000.0,-0.0238772923797121
45,1.0,-10.0,10000.0,-0.0058144602821077
46,1.0,-10.0,10000.0,0.081167050432399
47,1.0,-10.0,10000.0,-0.0208799509069938
48,1.0,-10.0,10000.0,-0.0118501370562413
49,1.0,-10.0,10000.0,-0.0104089120008247
50,1.0,-10.0,10000.0,-0.0041768083491819
51,1.0,-10.0,10000.0,-0.0120155427632648
52,1.0,-10.0,10000.0,0.0643621926066397
53,1.0,-10.0,10000.0,0.031641789631381
54,1.0,-10.0,10000.0,-0.011503631631116
55,1.0,-10.0,10000.0,-0.005621314090736
56,1.0,-10.0,10000.0,-0.009393140335273
57,1.0,-10.0,10000.0,-0.0026108738592244
58,1.0,-10.0,10000.0,-0.0191938355387294
59,1.0,-10.0,10000.0,-0.0120667462641456
60,1.0,-6.0,10000.0,0.0198822625941491
61,1.0,-6.0,10000.0,0.1829520736770715
62,1.0,-6.0,10000.0,0.0444160358501654
63,1.0,-6.0,10000.0,0.1398844529112052
64,1.0,-6.0,10000.0,0.0083891616028351
65,1.0,-6.0,10000.0,0.1764892513477537
66,1.0,-6.0,10000.0,0.0731648811276047
67,1.0,-6.0,10000.0,0.1127240843591072
68,1.0,-6.0,10000.0,0.0228168185889142
69,1.0,-6.0,10000.0,0.0145130275143351
70,1.0,-6.0,10000.0,0.2545577513101262
71,1.0,-6.0,10000.0,0.026021274342324
72,1.0,-6.0,10000.0,0.0825183661599119
73,1.0,-6.0,10000.0,0.1314169118363692
74,1.0,-6.0,10000.0,0.1159741488211726
75,1.0,-6.0,10000.0,0.2125137770420021
76,1.0,-6.0,10000.0,0.0103112734775099
77,1.0,-6.0,10000.0,0.2055791802093396
78,1.0,-6.0,10000.0,0.0190255817826354
79,1.0,-6.0,10000.0,0.1573719959050696
80,1.0,-2.0,10000.0,0.9266980810873162
81,1.0,-2.0,10000.0,0.9148660471342124
82,1.0,-2.0,10000.0,0.9472746509849193
83,1.0,-2.0,10000.0,0.9540791135868348
84,1.0,-2.0,10000.0,0.9499114008244728
85,1.0,-2.0,10000.0,0.8571914863445492
86,1.0,-2.0,10000.0,0.9473106048205168
87,1.0,-2.0,10000.0,0.9572810909440876
88,1.0,-2.0,10000.0,0.9056187280049012
89,1.0,-2.0,10000.0,0.9432567191241136
90,1.0,-2.0,10000.0,0.8767639620297872
91,1.0,-2.0,10000.0,0.8876007548616329
92,1.0,-2.0,10000.0,0.915969732101498
