,K,delay,N,<C>
0,1.0,-18.0,10000.0,-0.0167848761703175
1,1.0,-18.0,10000.0,-0.0120708827116116
2,1.0,-18.0,10000.0,0.0010255061636953
3,1.0,-18.0,10000.0,0.0105962281692561
4,1.0,-18.0,10000.0,0.0039295653121372
5,1.0,-18.0,10000.0,-0.0024029245545668
6,1.0,-18.0,10000.0,-0.000572102777677
7,1.0,-18.0,10000.0,0.0010426024014761
8,1.0,-18.0,10000.0,0.0120313724019427
9,1.0,-18.0,10000.0,0.029119055112087
10,1.0,-18.0,10000.0,0.0100957030306566
11,1.0,-18.0,10000.0,0.0325699738688083
12,1.0,-18.0,10000.0,0.0150671280531414
13,1.0,-18.0,10000.0,0.0066413500356559
14,1.0,-18.0,10000.0,0.0108055004170052
15,1.0,-18.0,10000.0,-0.009103843033263
16,1.0,-18.0,10000.0,-0.0054683984362472
17,1.0,-18.0,10000.0,-0.0022979128490763
18,1.0,-18.0,10000.0,-0.0024506416630905
19,1.0,-18.0,10000.0,0.003071194939307
20,1.0,-14.0,10000.0,0.0259319983130811
21,1.0,-14.0,10000.0,0.0061367556308206
22,1.0,-14.0,10000.0,0.0098827942085568
23,1.0,-14.0,10000.0,0.0017150480902903
24,1.0,-14.0,10000.0,0.0102022709562634
25,1.0,-14.0,10000.0,0.0017468863338623
26,1.0,-14.0,10000.0,0.0037453901428647
27,1.0,-14.0,10000.0,0.005170635524773
28,1.0,-14.0,10000.0,0.0083151057019417
29,1.0,-14.0,10000.0,-0.0043741445204378
30,1.0,-14.0,10000.0,-0.0074641211314313
31,1.0,-14.0,10000.0,-0.0026881039929365
32,1.0,-14.0,10000.0,0.0170814861294037
33,1.0,-14.0,10000.0,-0.0022645939888697
34,1.0,-14.0,10000.0,0.0062336347645542
35,1.0,-14.0,10000.0,0.0023666338066978
36,1.0,-14.0,10000.0,-0.0034348111630712
37,1.0,-14.0,10000.0,-0.0109035277364481
38,1.0,-14.0,10000.0,-0.0028850917193228
39,1.0,-14.0,10000.0,0.0044361729210518
40,1.0,-10.0,10000.0,0.0034151031928878
41,1.0,-10.0,10000.0,-0.0064270060653164
42,1.0,-10.0,10000.0,-0.0026574516428442
43,1.0,-10.0,10000.0,-0.0040560526226173
44,1.0,-10.0,10000.0,-0.0028813766053391
45,1.0,-10.0,10000.0,0.0001008815359928
46,1.0,-10.0,10000.0,-0.0027694081878726
47,1.0,-10.0,10000.0,0.0022567677167748
48,1.0,-10.0,10000.0,-0.0029094376545703
49,1.0,-10.0,10000.0,-0.016060898787081
50,1.0,-10.0,10000.0,0.0062496202167382
51,1.0,-10.0,10000.0,0.0263764057343434
52,1.0,-10.0,10000.0,0.0025320682169355
53,1.0,-10.0,10000.0,0.0007524366937597
54,1.0,-10.0,10000.0,-0.0002354693433203
55,1.0,-10.0,10000.0,-0.007706114920666
56,1.0,-10.0,10000.0,-0.0026656921831446
57,1.0,-10.0,10000.0,0.0128580437001091
58,1.0,-10.0,10000.0,-0.0034106950491349
59,1.0,-10.0,10000.0,-0.0088044798954662
60,1.0,-6.0,10000.0,0.1679622027459844
61,1.0,-6.0,10000.0,0.0260216041422855
62,1.0,-6.0,10000.0,0.0422686190170092
63,1.0,-6.0,10000.0,0.0273927189004274
64,1.0,-6.0,10000.0,0.0294306505366927
65,1.0,-6.0,10000.0,0.0524821967290304
66,1.0,-6.0,10000.0,0.0344138946003024
67,1.0,-6.0,10000.0,0.0110544362781935
68,1.0,-6.0,10000.0,0.0096967092701723
69,1.0,-6.0,10000.0,0.0204567731067678
70,1.0,-6.0,10000.0,0.0992747399345881
71,1.0,-6.0,10000.0,0.0175033037221021
72,1.0,-6.0,10000.0,0.0295068455512775
73,1.0,-6.0,10000.0,0.015295032305972
74,1.0,-6.0,10000.0,0.0168580333228956
75,1.0,-6.0,10000.0,0.0231067263535873
