,stdWeights,seed,class,"<C>, delay=-14",No-Activity,Fix,Cyclic,Chaotic,Non-Stationary,"<C>, delay=-10","<C>, delay=-6","<C>, delay=-2"
0,0.01,0,global,-8.2859279898886e-17,1.0,0.0,0.0,0.0,0.0,1.2026213385560446e-16,-1.3816020604709824e-16,1.7598099497617504e-16
1,0.01,100,global,3.040405284807181e-17,1.0,0.0,0.0,0.0,0.0,1.2386265229128941e-17,3.9706638619028003e-17,-2.232123458652848e-16
2,0.01,200,global,1.716722183050028e-17,1.0,0.0,0.0,0.0,0.0,-2.680924978925395e-17,2.6635527919680998e-17,-6.439595636191776e-17
3,0.01,300,global,-8.854882251468183e-17,1.0,0.0,0.0,0.0,0.0,1.2386265229128941e-17,1.350827823829958e-17,-7.416922628687952e-17
4,0.01,400,global,4.4680001445862576e-17,1.0,0.0,0.0,0.0,0.0,-2.722174141711792e-17,-7.21792877689879e-17,-3.1059213474217975e-18
5,0.01,500,global,2.4603393439501326e-16,1.0,0.0,0.0,0.0,0.0,-2.0291218646302063e-16,1.5001767703193155e-16,1.32660011026347e-16
6,0.01,600,global,8.799157183704964e-17,1.0,0.0,0.0,0.0,0.0,1.4134506938700382e-16,7.124647439808299e-17,-7.416922628687952e-17
7,0.01,700,global,-1.4144752208180394e-16,1.0,0.0,0.0,0.0,0.0,1.0214955436862091e-16,1.4203610577617991e-16,5.791965637769348e-17
8,0.01,800,global,-5.100471904467215e-17,1.0,0.0,0.0,0.0,0.0,-1.2026213385560446e-16,8.957354628496769e-17,1.4890958093553304e-16
9,0.01,900,global,1.5787387007959662e-16,1.0,0.0,0.0,0.0,0.0,-1.4175756101486779e-16,5.9835500025339846e-18,4.56781125252264e-17
10,0.01,1000,global,2.016507519165158e-16,1.0,0.0,0.0,0.0,0.0,-2.108499996561495e-16,8.957354628496769e-17,3.3635062284342554e-16
11,0.01,1100,global,-2.2875463165219853e-17,1.0,0.0,0.0,0.0,0.0,-3.9483071536321983e-16,-1.499793977625359e-16,1.7598099497617504e-16
12,0.01,1200,global,9.023245029074772e-17,1.0,0.0,0.0,0.0,0.0,7.862645895449424e-17,1.440341270293976e-16,3.655674046216718e-17
13,0.01,1300,global,-2.08909536922632e-16,1.0,0.0,0.0,0.0,0.0,-4.83046769485173e-17,-2.34332601952311e-16,2.8549597473916274e-16
