,stdWeights,seed,class,"<C>, delay=-14",No-Activity,Fix,Cyclic,Chaotic,Non-Stationary,"<C>, delay=-10","<C>, delay=-6","<C>, delay=-2"
0,0.08,0,global,-4.576794455094283e-18,0.0,1.0,0.0,0.0,0.0,-1.8797576216006315e-16,-1.9821321198314564e-16,-3.400827847140179e-17
1,0.08,100,global,-1.087813409586418e-16,0.0,1.0,0.0,0.0,0.0,-4.506379493029081e-17,-1.324611942616627e-16,1.6607531970545177e-16
2,0.08,200,global,2.836086781438667e-16,0.0,1.0,0.0,0.0,0.0,1.4175756101486779e-16,1.324611942616627e-16,1.5725327820572235e-16
3,0.08,300,global,-1.1528514575182162e-17,0.0,1.0,0.0,0.0,0.0,6.831574696523596e-17,1.7714907131671771e-16,-3.655674046216718e-17
4,0.08,400,global,-8.151405522958164e-17,0.0,1.0,0.0,0.0,0.0,1.1070937485118709e-17,-1.447349087974928e-16,2.508729856990125e-16
5,0.08,500,global,6.129591732436944e-17,0.0,1.0,0.0,0.0,0.0,-1.948810691174852e-16,2.0287426583739003e-16,5.680767123084816e-17
6,0.08,600,global,2.0803077189888752e-17,0.0,1.0,0.0,0.0,0.0,2.002817949374505e-16,3.4684885712336824e-17,-2.498034862314248e-16
7,0.08,700,global,8.72544345746389e-17,0.0,1.0,0.0,0.0,0.0,-1.0776348890678576e-16,1.3821632275420362e-16,-1.5720514628251646e-16
8,0.08,800,global,-8.744327914207755e-17,0.0,1.0,0.0,0.0,0.0,1.1054033257061112e-16,-2.25327083126778e-16,5.170730932830663e-16
9,0.08,900,global,2.0442778001523567e-16,0.0,1.0,0.0,0.0,0.0,1.856868165434078e-16,-9.980307640505663e-17,1.1308901854107927e-16
10,0.08,1000,global,-1.1528514575182162e-17,0.0,1.0,0.0,0.0,0.0,-9.40338945732114e-17,-1.324611942616627e-16,2.0311962386482548e-17
11,0.08,1100,global,-7.0050790720914e-17,0.0,1.0,0.0,0.0,0.0,8.065412720935761e-17,1.3166379809814578e-16,7.416922628687952e-17
12,0.08,1200,global,-6.008227791670227e-17,0.0,1.0,0.0,0.0,0.0,1.346121935502591e-16,1.4855375589272734e-16,-3.1059213474217975e-18
13,0.08,1300,global,-1.374771555514973e-16,0.0,1.0,0.0,0.0,0.0,1.5473956137079798e-16,-2.25327083126778e-16,-1.32660011026347e-16
14,0.08,1400,global,1.0429958405124556e-16,0.0,1.0,0.0,0.0,0.0,6.716461062413219e-17,1.2930433177384622e-16,2.496645532833745e-16
15,0.08,1500,global,-5.160431162707913e-17,0.0,1.0,0.0,0.0,0.0,8.277747797740788e-17,2.25327083126778e-16,-1.2150304965675937e-16
16,0.08,1600,global,-1.720033388667711e-17,0.0,1.0,0.0,0.0,0.0,-2.5085758008548904e-16,1.0026966020141812e-16,6.273579508964024e-18
